Date,Time,Open,High,Low,Close,Volume
2017.10.16,08:00,32.92,32.93,32.91,32.93,2661
2017.10.16,09:00,32.92,32.93,32.91,32.93,2661
2017.10.16,17:00,33.36,33.66,33.34,33.66,2563
2017.10.16,20:00,33.36,33.38,33.36,33.38,2563
2017.10.17,08:00,33.34,33.34,33.33,33.33,2806
2017.10.17,09:00,33.34,33.69,33.28,33.69,2806
2017.10.17,17:00,33.69,33.69,33.49,33.62,2745
2017.10.17,20:00,33.69,33.69,33.69,33.69,2745
2017.10.18,08:00,31.49,31.53,31.49,31.53,2893
2017.10.18,09:00,31.49,31.56,31.39,31.45,2893
2017.10.18,17:00,31.37,31.45,31.12,31.12,3006
2017.10.18,20:00,31.37,31.39,31.37,31.39,3006
2017.10.19,08:00,30.57,30.59,30.54,30.59,2915
2017.10.19,09:00,30.57,30.86,30.49,30.7,2915
2017.10.19,17:00,30.68,31.36,30.68,31.26,2932
2017.10.19,20:00,30.68,30.72,30.68,30.72,2932
2017.10.20,08:00,30.68,30.69,30.66,30.67,2829
2017.10.20,09:00,30.68,30.79,30.64,30.79,2829
2017.10.20,17:00,30.82,30.87,30.69,30.81,2894
2017.10.20,20:00,30.82,30.86,30.82,30.83,2894
2017.10.21,08:00,30.48,30.53,30.48,30.5,3035
2017.10.21,20:00,30.42,30.43,30.39,30.42,3017
2017.10.22,08:00,29.75,29.75,29.75,29.75,60
2017.10.22,20:00,29.75,29.75,29.75,29.75,60
2017.10.23,08:00,28.93,28.98,28.93,28.98,2717
2017.10.23,09:00,28.93,29.34,28.93,29.34,2717
2017.10.23,17:00,29.34,29.47,29.24,29.29,2914
2017.10.23,20:00,29.34,29.34,29.34,29.34,2914
2017.10.24,08:00,28.18,28.18,28.15,28.16,2814
2017.10.24,09:00,28.18,28.29,28.15,28.29,2814
2017.10.24,17:00,28.39,28.4,28.24,28.33,2779
2017.10.24,20:00,28.39,28.39,28.36,28.38,2779
2017.10.25,08:00,30.18,30.18,30.18,30.18,2115
2017.10.25,09:00,30.18,30.18,29.75,29.81,2115
2017.10.25,17:00,29.66,29.73,29.49,29.61,2944
2017.10.25,20:00,29.66,29.67,29.49,29.62,2944
2017.10.26,08:00,29.64,29.64,29.64,29.64,3036
2017.10.26,09:00,29.64,29.68,29.49,29.5,3036
2017.10.26,17:00,29.57,29.68,29.36,29.62,3036
2017.10.26,20:00,29.57,29.57,29.57,29.57,3036
2017.10.27,08:00,29.51,29.52,29.49,29.52,3094
2017.10.27,09:00,29.51,29.52,29.38,29.42,3094
2017.10.27,17:00,29.43,29.63,29.37,29.55,3273
2017.10.27,20:00,29.43,29.43,29.42,29.42,3273
2017.10.28,08:00,29.42,29.43,29.39,29.39,2866
