Date,Time,Open,High,Low,Close,Volume
2017.10.16,08:00,32.92000,32.93000,32.91000,32.93000,2661
2017.10.16,09:00,32.92000,32.93000,32.91000,32.93000,2661
2017.10.16,17:00,33.36000,33.66000,33.34000,33.66000,2563
2017.10.16,20:00,33.36000,33.38000,33.36000,33.38000,2563
2017.10.17,08:00,33.34000,33.34000,33.33000,33.33000,2806
2017.10.17,09:00,33.34000,33.69000,33.28000,33.69000,2806
2017.10.17,17:00,33.69000,33.69000,33.49000,33.62000,2745
2017.10.17,20:00,33.69000,33.69000,33.69000,33.69000,2745
2017.10.18,08:00,31.49000,31.53000,31.49000,31.53000,2893
2017.10.18,09:00,31.49000,31.56000,31.39000,31.45000,2893
2017.10.18,17:00,31.37000,31.45000,31.12000,31.12000,3006
2017.10.18,20:00,31.37000,31.39000,31.37000,31.39000,3006
2017.10.19,08:00,30.57000,30.59000,30.54000,30.59000,2915
2017.10.19,09:00,30.57000,30.86000,30.49000,30.70000,2915
2017.10.19,17:00,30.68000,31.36000,30.68000,31.26000,2932
2017.10.19,20:00,30.68000,30.72000,30.68000,30.72000,2932
2017.10.20,08:00,30.68000,30.69000,30.66000,30.67000,2829
2017.10.20,09:00,30.68000,30.79000,30.64000,30.79000,2829
2017.10.20,17:00,30.82000,30.87000,30.69000,30.81000,2894
2017.10.20,20:00,30.82000,30.86000,30.82000,30.83000,2894
2017.10.21,08:00,30.48000,30.53000,30.48000,30.50000,3035
2017.10.21,20:00,30.42000,30.43000,30.39000,30.42000,3017
2017.10.22,08:00,29.75000,29.75000,29.75000,29.75000,60
2017.10.22,20:00,29.75000,29.75000,29.75000,29.75000,60
2017.10.23,08:00,28.93000,28.98000,28.93000,28.98000,2717
2017.10.23,09:00,28.93000,29.34000,28.93000,29.34000,2717
2017.10.23,17:00,29.34000,29.47000,29.24000,29.29000,2914
2017.10.23,20:00,29.34000,29.34000,29.34000,29.34000,2914
2017.10.24,08:00,28.18000,28.18000,28.15000,28.16000,2814
2017.10.24,09:00,28.18000,28.29000,28.15000,28.29000,2814
2017.10.24,17:00,28.39000,28.40000,28.24000,28.33000,2779
2017.10.24,20:00,28.39000,28.39000,28.36000,28.38000,2779
2017.10.25,08:00,30.18000,30.18000,30.18000,30.18000,2115
2017.10.25,09:00,30.18000,30.18000,29.75000,29.81000,2115
2017.10.25,17:00,29.66000,29.73000,29.49000,29.61000,2944
2017.10.25,20:00,29.66000,29.67000,29.49000,29.62000,2944
2017.10.26,08:00,29.64000,29.64000,29.64000,29.64000,3036
2017.10.26,09:00,29.64000,29.68000,29.49000,29.50000,3036
2017.10.26,17:00,29.57000,29.68000,29.36000,29.62000,3036
2017.10.26,20:00,29.57000,29.57000,29.57000,29.57000,3036
2017.10.27,08:00,29.51000,29.52000,29.49000,29.52000,3094
2017.10.27,09:00,29.51000,29.52000,29.38000,29.42000,3094
2017.10.27,17:00,29.43000,29.63000,29.37000,29.55000,3273
2017.10.27,20:00,29.43000,29.43000,29.42000,29.42000,3273
2017.10.28,08:00,29.42000,29.43000,29.39000,29.39000,2866
2017.10.28,20:00,29.43000,29.44000,29.42000,29.44000,2856
2017.10.29,08:00,29.28000,29.30000,29.28000,29.28000,3014
2017.10.29,20:00,29.32000,29.32000,29.31000,29.31000,3030
2017.10.30,08:00,30.78000,30.78000,30.78000,30.78000,2803
2017.10.30,09:00,30.78000,30.78000,30.53000,30.59000,2803
2017.10.30,17:00,30.60000,30.62000,30.38000,30.39000,2774
2017.10.30,20:00,30.60000,30.61000,30.59000,30.60000,2774
2017.10.31,08:00,30.48000,30.49000,30.48000,30.49000,3024
2017.10.31,09:00,30.48000,30.56000,30.46000,30.48000,3024
2017.10.31,17:00,30.47000,30.74000,30.45000,30.74000,2932
2017.10.31,20:00,30.47000,30.47000,30.47000,30.47000,2932
2017.11.01,08:00,30.54000,30.57000,30.53000,30.53000,2572
2017.11.01,09:00,30.54000,30.57000,30.49000,30.50000,2572
2017.11.01,17:00,30.48000,30.55000,30.40000,30.40000,2744
2017.11.01,20:00,30.48000,30.48000,30.48000,30.48000,2744
2017.11.02,08:00,29.45000,29.49000,29.44000,29.47000,2940
2017.11.02,09:00,29.45000,29.49000,28.95000,29.15000,2940
2017.11.02,17:00,29.20000,29.22000,28.77000,28.80000,2850
2017.11.02,20:00,29.20000,29.22000,29.20000,29.22000,2850
2017.11.03,08:00,28.39000,28.40000,28.39000,28.39000,2837
2017.11.03,09:00,28.39000,28.47000,28.33000,28.42000,2837
2017.11.03,17:00,28.33000,28.53000,28.20000,28.36000,2907
2017.11.03,20:00,28.33000,28.37000,28.33000,28.37000,2907
2017.11.04,08:00,30.64000,30.67000,30.64000,30.64000,2955
2017.11.04,20:00,30.15000,30.23000,30.15000,30.23000,2962
2017.11.05,08:00,29.84000,29.84000,29.84000,29.84000,2550
2017.11.05,20:00,29.85000,29.85000,29.85000,29.85000,2745
2017.11.06,08:00,29.63000,29.64000,29.62000,29.64000,2904
2017.11.06,09:00,29.63000,29.71000,29.46000,29.46000,2904
2017.11.06,17:00,29.52000,29.63000,29.37000,29.52000,2885
2017.11.06,20:00,29.52000,29.56000,29.49000,29.49000,2885
2017.11.07,08:00,29.91000,29.92000,29.91000,29.92000,2650
2017.11.07,09:00,29.91000,29.92000,29.59000,29.72000,2650
2017.11.07,17:00,29.65000,29.82000,29.54000,29.62000,2761
2017.11.07,20:00,29.65000,29.65000,29.64000,29.64000,2761
2017.11.08,08:00,29.28000,29.29000,29.27000,29.28000,2962
2017.11.08,09:00,29.28000,29.38000,29.08000,29.14000,2962
2017.11.08,17:00,29.13000,29.18000,28.96000,29.16000,2938
2017.11.08,20:00,29.13000,29.15000,29.10000,29.10000,2938
2017.11.09,08:00,31.22000,31.23000,31.21000,31.23000,2800
2017.11.09,09:00,31.22000,31.23000,30.97000,31.02000,2800
2017.11.09,17:00,30.94000,31.08000,30.84000,30.88000,2846
2017.11.09,20:00,30.94000,30.99000,30.94000,30.99000,2846
2017.11.10,08:00,31.97000,31.99000,31.95000,31.99000,3067
2017.11.10,09:00,31.97000,31.99000,31.70000,31.73000,3067
2017.11.10,17:00,31.74000,31.95000,31.60000,31.89000,3341
2017.11.10,20:00,31.74000,31.74000,31.71000,31.71000,3341
2017.11.11,08:00,29.88000,29.92000,29.88000,29.92000,3161
2017.11.11,20:00,30.01000,30.01000,29.99000,29.99000,3222
2017.11.12,08:00,31.50000,31.50000,31.49000,31.49000,3336
2017.11.12,20:00,31.34000,31.37000,31.34000,31.35000,3348
2017.11.13,08:00,30.85000,30.91000,30.81000,30.84000,3420
2017.11.13,09:00,30.85000,30.91000,30.16000,30.31000,3420
2017.11.13,17:00,30.27000,30.55000,30.19000,30.31000,3445
2017.11.13,20:00,30.27000,30.34000,30.25000,30.30000,3445
2017.11.14,08:00,31.09000,31.15000,31.09000,31.10000,3303
2017.11.14,09:00,31.09000,31.28000,31.06000,31.19000,3303
2017.11.14,17:00,31.18000,31.49000,31.18000,31.30000,3264
2017.11.14,20:00,31.18000,31.18000,31.18000,31.18000,3264
