Date,Time,Open,High,Low,Close,Volume
2008.07.23,00:00,0.79270,0.79290,0.78410,0.78520,6353
2008.07.24,00:00,0.78510,0.79060,0.78460,0.78920,7091
2008.07.25,00:00,0.78930,0.79190,0.78700,0.78860,6223
2008.07.28,00:00,0.78850,0.79320,0.78810,0.78910,4543
2008.07.29,00:00,0.78900,0.79120,0.78640,0.78700,4656
2008.07.30,00:00,0.78710,0.78780,0.78500,0.78610,5487
2008.07.31,00:00,0.78600,0.78930,0.78590,0.78640,4993
2008.08.01,00:00,0.78630,0.78910,0.78460,0.78790,5751
2008.08.04,00:00,0.78820,0.79460,0.78810,0.79390,4005
2008.08.05,00:00,0.79400,0.79420,0.79010,0.79110,5199
2008.08.06,00:00,0.79100,0.79280,0.79020,0.79160,4883
2008.08.07,00:00,0.79150,0.79370,0.78780,0.78860,6045
2008.08.08,00:00,0.78850,0.78980,0.78120,0.78120,8797
2008.08.11,00:00,0.78100,0.78370,0.77950,0.77950,7769
2008.08.12,00:00,0.77970,0.78720,0.77940,0.78660,8144
2008.08.13,00:00,0.78680,0.79850,0.78510,0.79820,9289
2008.08.14,00:00,0.79830,0.79910,0.79140,0.79210,8098
2008.08.15,00:00,0.79220,0.79440,0.78690,0.78700,7936
2008.08.18,00:00,0.78760,0.79080,0.78710,0.78830,6126
2008.08.19,00:00,0.78820,0.79220,0.78730,0.79190,6097
2008.08.20,00:00,0.79200,0.79350,0.79000,0.79200,5250
2008.08.21,00:00,0.79210,0.79440,0.79060,0.79320,6532
2008.08.22,00:00,0.79340,0.79880,0.79250,0.79840,3809
2008.08.25,00:00,0.79870,0.80030,0.79600,0.79630,5012
2008.08.26,00:00,0.79620,0.79790,0.79380,0.79670,7842
2008.08.27,00:00,0.79660,0.80300,0.79610,0.80230,7689
2008.08.28,00:00,0.80220,0.80600,0.80170,0.80350,8523
2008.08.29,00:00,0.80360,0.80750,0.80320,0.80570,7718
2008.09.01,00:00,0.81150,0.81380,0.80890,0.81070,7668
2008.09.02,00:00,0.81060,0.81630,0.81050,0.81410,9610
2008.09.03,00:00,0.81400,0.81720,0.81220,0.81640,9840
2008.09.04,00:00,0.81630,0.81860,0.80730,0.80910,10585
2008.09.05,00:00,0.80920,0.81410,0.80540,0.80740,13153
2008.09.08,00:00,0.80430,0.80760,0.80210,0.80310,14738
2008.09.09,00:00,0.80320,0.80520,0.80030,0.80210,10862
2008.09.10,00:00,0.80220,0.80410,0.79730,0.79830,11041
2008.09.11,00:00,0.79840,0.79910,0.79210,0.79710,12129
2008.09.12,00:00,0.79720,0.79770,0.79120,0.79310,10145
2008.09.15,00:00,0.79470,0.80070,0.79090,0.79340,18861
2008.09.16,00:00,0.79350,0.79820,0.79060,0.79160,18133
2008.09.17,00:00,0.79180,0.79840,0.78640,0.78950,17532
2008.09.18,00:00,0.78980,0.79630,0.78650,0.78870,18062
2008.09.19,00:00,0.78860,0.79320,0.78490,0.78990,16786
2008.09.22,00:00,0.79070,0.79790,0.78870,0.79650,12647
2008.09.23,00:00,0.79630,0.79800,0.79070,0.79170,9922
2008.09.24,00:00,0.79160,0.79400,0.78850,0.79140,9941
2008.09.25,00:00,0.79150,0.79740,0.79010,0.79520,12371
2008.09.26,00:00,0.79530,0.79690,0.79210,0.79230,11832
2008.09.29,00:00,0.79430,0.80250,0.79080,0.79900,15367
2008.09.30,00:00,0.79910,0.79970,0.78430,0.79150,15727
2008.10.01,00:00,0.79140,0.79520,0.78920,0.79120,15393
2008.10.02,00:00,0.79110,0.79210,0.78240,0.78310,16213
2008.10.03,00:00,0.78300,0.78470,0.77530,0.77770,14308
2008.10.06,00:00,0.77350,0.77970,0.77000,0.77340,20284
2008.10.07,00:00,0.77350,0.78130,0.77140,0.77730,21247
2008.10.08,00:00,0.77750,0.79390,0.77170,0.78890,25799
2008.10.09,00:00,0.78900,0.79700,0.78590,0.79540,20485
2008.10.10,00:00,0.79530,0.80680,0.78530,0.78610,20857
2008.10.13,00:00,0.79240,0.79660,0.77810,0.78090,16973
2008.10.14,00:00,0.78100,0.78430,0.77620,0.78210,16154
2008.10.15,00:00,0.78220,0.78590,0.77350,0.78520,18120
2008.10.16,00:00,0.78440,0.78450,0.77420,0.77840,22330
2008.10.17,00:00,0.77830,0.78090,0.77400,0.77600,13905
2008.10.20,00:00,0.77430,0.77840,0.76930,0.77710,12632
2008.10.21,00:00,0.77720,0.78360,0.77360,0.78210,14633
2008.10.22,00:00,0.78190,0.79560,0.78110,0.79100,22811
2008.10.23,00:00,0.79090,0.79900,0.78370,0.79570,23190
2008.10.24,00:00,0.79590,0.81950,0.79050,0.79290,30910
