Date,Time,Open,High,Low,Close,Volume
2020.03.03,14:00,0.86903,0.87049,0.86844,0.86996,8565
2020.03.03,15:00,0.86999,0.87086,0.86814,0.86898,8205
2020.03.03,16:00,0.86898,0.87041,0.86843,0.87031,6327
2020.03.03,17:00,0.87033,0.87433,0.86991,0.87215,17010
2020.03.03,18:00,0.87207,0.87241,0.86962,0.87112,10942
2020.03.03,19:00,0.87112,0.87141,0.86951,0.87094,7251
2020.03.03,20:00,0.87096,0.87369,0.87072,0.87357,5570
2020.03.03,21:00,0.87356,0.87406,0.87227,0.87227,8233
2020.03.03,22:00,0.87215,0.87306,0.87187,0.87277,5094
2020.03.03,23:00,0.87275,0.87288,0.87143,0.87164,2150
2020.03.04,00:00,0.87108,0.87187,0.87107,0.87153,1087
2020.03.04,01:00,0.87153,0.87189,0.87103,0.87165,3304
2020.03.04,02:00,0.87166,0.87182,0.87073,0.87096,3113
2020.03.04,03:00,0.87096,0.87109,0.87055,0.87093,2728
2020.03.04,04:00,0.87091,0.87117,0.87055,0.87068,1765
2020.03.04,05:00,0.87067,0.87150,0.87057,0.87091,1766
2020.03.04,06:00,0.87092,0.87124,0.87080,0.87095,941
2020.03.04,07:00,0.87096,0.87105,0.87057,0.87065,1086
2020.03.04,08:00,0.87066,0.87079,0.86994,0.87043,2097
2020.03.04,09:00,0.87043,0.87228,0.87038,0.87223,4910
2020.03.04,10:00,0.87225,0.87435,0.87209,0.87270,7207
2020.03.04,11:00,0.87270,0.87359,0.87221,0.87264,5977
2020.03.04,12:00,0.87264,0.87384,0.87034,0.87140,6702
2020.03.04,13:00,0.87139,0.87264,0.87021,0.87115,6138
2020.03.04,14:00,0.87115,0.87125,0.86774,0.86807,6596
2020.03.04,15:00,0.86807,0.86874,0.86692,0.86706,5574
2020.03.04,16:00,0.86705,0.86747,0.86578,0.86667,8043
2020.03.04,17:00,0.86679,0.86930,0.86598,0.86881,9054
2020.03.04,18:00,0.86878,0.86961,0.86630,0.86701,7875
2020.03.04,19:00,0.86701,0.86708,0.86560,0.86608,4702
2020.03.04,20:00,0.86608,0.86627,0.86493,0.86509,3593
2020.03.04,21:00,0.86508,0.86581,0.86486,0.86559,3721
2020.03.04,22:00,0.86560,0.86582,0.86509,0.86541,2934
2020.03.04,23:00,0.86538,0.86554,0.86487,0.86503,1540
2020.03.05,00:00,0.86497,0.86514,0.86461,0.86475,976
2020.03.05,01:00,0.86501,0.86552,0.86466,0.86522,1892
2020.03.05,02:00,0.86521,0.86566,0.86492,0.86537,2007
2020.03.05,03:00,0.86536,0.86573,0.86526,0.86558,1340
2020.03.05,04:00,0.86558,0.86590,0.86558,0.86563,918
2020.03.05,05:00,0.86562,0.86568,0.86517,0.86532,963
2020.03.05,06:00,0.86532,0.86540,0.86500,0.86512,863
2020.03.05,07:00,0.86513,0.86523,0.86446,0.86458,1059
2020.03.05,08:00,0.86457,0.86516,0.86372,0.86443,1694
2020.03.05,09:00,0.86442,0.86522,0.86382,0.86387,3637
2020.03.05,10:00,0.86385,0.86446,0.86203,0.86373,5466
2020.03.05,11:00,0.86373,0.86532,0.86299,0.86473,5496
2020.03.05,12:00,0.86477,0.86502,0.86377,0.86469,5358
2020.03.05,13:00,0.86471,0.86649,0.86387,0.86532,5387
2020.03.05,14:00,0.86532,0.86775,0.86475,0.86635,6657
2020.03.05,15:00,0.86635,0.86732,0.86543,0.86578,6442
2020.03.05,16:00,0.86581,0.86663,0.86538,0.86627,6151
2020.03.05,17:00,0.86627,0.86684,0.86448,0.86535,7669
2020.03.05,18:00,0.86536,0.86634,0.86493,0.86572,6368
2020.03.05,19:00,0.86571,0.86670,0.86428,0.86660,6205
2020.03.05,20:00,0.86662,0.86706,0.86556,0.86572,4530
2020.03.05,21:00,0.86573,0.86590,0.86486,0.86517,3700
2020.03.05,22:00,0.86517,0.86627,0.86490,0.86619,4850
2020.03.05,23:00,0.86617,0.86804,0.86572,0.86731,2870
2020.03.06,00:00,0.86686,0.86740,0.86616,0.86660,1506
2020.03.06,01:00,0.86664,0.86695,0.86638,0.86651,2059
2020.03.06,02:00,0.86653,0.86658,0.86551,0.86592,2885
2020.03.06,03:00,0.86593,0.86738,0.86590,0.86734,2719
2020.03.06,04:00,0.86735,0.86759,0.86676,0.86702,3232
2020.03.06,05:00,0.86701,0.86701,0.86643,0.86672,2521
2020.03.06,06:00,0.86672,0.86718,0.86646,0.86678,1711
2020.03.06,07:00,0.86679,0.86739,0.86673,0.86676,1737
2020.03.06,08:00,0.86677,0.86736,0.86563,0.86589,3029
2020.03.06,09:00,0.86589,0.86628,0.86518,0.86566,5003
2020.03.06,10:00,0.86566,0.86921,0.86530,0.86890,8858
2020.03.06,11:00,0.86885,0.86954,0.86754,0.86942,7930
2020.03.06,12:00,0.86941,0.87082,0.86895,0.87072,10639
2020.03.06,13:00,0.87073,0.87141,0.86960,0.87088,9002
2020.03.06,14:00,0.87091,0.87111,0.86944,0.87085,7089
2020.03.06,15:00,0.87086,0.87158,0.86982,0.87113,9523
2020.03.06,16:00,0.87114,0.87170,0.87010,0.87087,10732
2020.03.06,17:00,0.87086,0.87095,0.86631,0.86795,13963
2020.03.06,18:00,0.86795,0.87012,0.86699,0.86998,8255
2020.03.06,19:00,0.86998,0.87077,0.86841,0.86930,7376
2020.03.06,20:00,0.86930,0.86997,0.86834,0.86893,7010
2020.03.06,21:00,0.86891,0.86960,0.86836,0.86956,6394
2020.03.06,22:00,0.86955,0.86961,0.86715,0.86739,8242
2020.03.06,23:00,0.86734,0.86753,0.86487,0.86529,2736
2020.03.09,00:00,0.86597,0.86986,0.86578,0.86974,7424
2020.03.09,01:00,0.86981,0.86994,0.86839,0.86941,6380
2020.03.09,02:00,0.86941,0.87007,0.86871,0.86883,5092
2020.03.09,03:00,0.86885,0.87674,0.86848,0.87350,9418
2020.03.09,04:00,0.87350,0.87511,0.87120,0.87197,11628
2020.03.09,05:00,0.87196,0.87330,0.87020,0.87272,9232
2020.03.09,06:00,0.87272,0.87350,0.87185,0.87210,5526
2020.03.09,07:00,0.87210,0.87424,0.87169,0.87186,5503
2020.03.09,08:00,0.87183,0.87441,0.87021,0.87038,7178
2020.03.09,09:00,0.87037,0.87194,0.86667,0.86704,14094
2020.03.09,10:00,0.86703,0.86911,0.86608,0.86742,13028
2020.03.09,11:00,0.86742,0.86790,0.86549,0.86726,9700
2020.03.09,12:00,0.86725,0.87302,0.86714,0.87270,9567
2020.03.09,13:00,0.87270,0.87399,0.87170,0.87224,10162
2020.03.09,14:00,0.87217,0.87353,0.86994,0.87277,11421
2020.03.09,15:00,0.87282,0.87614,0.86868,0.87017,14866
2020.03.09,16:00,0.87019,0.87393,0.86982,0.87030,14934
2020.03.09,17:00,0.87032,0.87174,0.86826,0.87167,11263
2020.03.09,18:00,0.87166,0.87413,0.87052,0.87289,11241
2020.03.09,19:00,0.87288,0.87436,0.87100,0.87351,10272
2020.03.09,20:00,0.87349,0.87440,0.87104,0.87400,11516
2020.03.09,21:00,0.87400,0.87521,0.87244,0.87374,9471
2020.03.09,22:00,0.87371,0.87442,0.87127,0.87189,4847
2020.03.09,23:00,0.87160,0.87398,0.87021,0.87382,1301
2020.03.10,00:00,0.87380,0.87419,0.87222,0.87324,4014
2020.03.10,01:00,0.87323,0.87327,0.87115,0.87184,4579
2020.03.10,02:00,0.87181,0.87306,0.87112,0.87215,5903
2020.03.10,03:00,0.87218,0.87277,0.87109,0.87222,5875
2020.03.10,04:00,0.87218,0.87273,0.87141,0.87270,3575
2020.03.10,05:00,0.87271,0.87323,0.87197,0.87232,4164
2020.03.10,06:00,0.87234,0.87239,0.87048,0.87061,4510
2020.03.10,07:00,0.87062,0.87072,0.86862,0.87051,7155
2020.03.10,08:00,0.87051,0.87169,0.86973,0.87076,8796
2020.03.10,09:00,0.87078,0.87147,0.87008,0.87095,10378
2020.03.10,10:00,0.87094,0.87248,0.86905,0.86979,10800
2020.03.10,11:00,0.86980,0.87078,0.86802,0.86897,9193
2020.03.10,12:00,0.86896,0.87019,0.86877,0.86989,8492
2020.03.10,13:00,0.86989,0.87205,0.86964,0.87119,9372
2020.03.10,14:00,0.87120,0.87418,0.87104,0.87371,10920
2020.03.10,15:00,0.87367,0.87445,0.87256,0.87286,11339
2020.03.10,16:00,0.87285,0.87494,0.87175,0.87405,10113
2020.03.10,17:00,0.87408,0.87697,0.87393,0.87683,12640
2020.03.10,18:00,0.87687,0.87801,0.87452,0.87557,13634
2020.03.10,19:00,0.87557,0.87684,0.87477,0.87532,11400
2020.03.10,20:00,0.87531,0.87651,0.87397,0.87455,10549
2020.03.10,21:00,0.87443,0.87573,0.87296,0.87563,10503
2020.03.10,22:00,0.87560,0.87673,0.87283,0.87380,4281
2020.03.10,23:00,0.87373,0.87616,0.87305,0.87562,1118
2020.03.11,00:00,0.87564,0.87685,0.87520,0.87615,3844
2020.03.11,01:00,0.87616,0.87685,0.87538,0.87652,3934
