Date,Time,Open,High,Low,Close,Volume
2014.03.17,00:00,1.39118,1.39471,1.38789,1.39203,37350
2014.03.18,00:00,1.39204,1.39419,1.38795,1.39335,42141
2014.03.19,00:00,1.39334,1.39336,1.38092,1.38161,45331
2014.03.20,00:00,1.38162,1.38442,1.37488,1.37796,50493
2014.03.21,00:00,1.37795,1.38102,1.37653,1.37930,39227
2014.03.24,00:00,1.37991,1.38749,1.37599,1.38379,44360
2014.03.25,00:00,1.38378,1.38463,1.37491,1.38254,53240
2014.03.26,00:00,1.38254,1.38272,1.37759,1.37847,53185
2014.03.27,00:00,1.37848,1.37963,1.37282,1.37408,56671
2014.03.28,00:00,1.37409,1.37724,1.37048,1.37513,44354
2014.03.31,00:00,1.37601,1.38059,1.37232,1.37686,47796
2014.04.01,00:00,1.37687,1.38147,1.37680,1.37925,40847
2014.04.02,00:00,1.37926,1.38196,1.37528,1.37668,39520
2014.04.03,00:00,1.37668,1.38054,1.36976,1.37196,46443
2014.04.04,00:00,1.37195,1.37304,1.36722,1.37019,44843
2014.04.07,00:00,1.36982,1.37479,1.36958,1.37411,34578
2014.04.08,00:00,1.37410,1.38110,1.37370,1.37965,43058
2014.04.09,00:00,1.37966,1.38609,1.37795,1.38547,43212
2014.04.10,00:00,1.38548,1.38984,1.38355,1.38856,43232
2014.04.11,00:00,1.38856,1.39049,1.38629,1.38841,40112
2014.04.14,00:00,1.38429,1.38624,1.38078,1.38202,42242
2014.04.15,00:00,1.38201,1.38327,1.37903,1.38140,40710
2014.04.16,00:00,1.38139,1.38502,1.38031,1.38147,40305
2014.04.17,00:00,1.38149,1.38640,1.38108,1.38131,37958
2014.04.18,00:00,1.38130,1.38218,1.38079,1.38088,14503
2014.04.21,00:00,1.38136,1.38300,1.37862,1.37921,22958
2014.04.22,00:00,1.37921,1.38242,1.37845,1.38045,36649
2014.04.23,00:00,1.38045,1.38542,1.37997,1.38163,38390
2014.04.24,00:00,1.38164,1.38422,1.37909,1.38310,37650
2014.04.25,00:00,1.38311,1.38475,1.38267,1.38329,31356
2014.04.28,00:00,1.38454,1.38789,1.38142,1.38506,35010
2014.04.29,00:00,1.38505,1.38785,1.38052,1.38117,35370
2014.04.30,00:00,1.38117,1.38759,1.37746,1.38666,42820
2014.05.01,00:00,1.38665,1.38886,1.38624,1.38690,24949
2014.05.02,00:00,1.38689,1.38807,1.38116,1.38686,35451
2014.05.05,00:00,1.38839,1.38855,1.38640,1.38747,26012
2014.05.06,00:00,1.38747,1.39506,1.38712,1.39269,34706
2014.05.07,00:00,1.39271,1.39379,1.39097,1.39097,34143
2014.05.08,00:00,1.39096,1.39925,1.38328,1.38393,45846
2014.05.09,00:00,1.38393,1.38439,1.37453,1.37576,41112
2014.05.12,00:00,1.37523,1.37743,1.37489,1.37567,32251
2014.05.13,00:00,1.37568,1.37710,1.36886,1.37028,43510
2014.05.14,00:00,1.37027,1.37303,1.36976,1.37141,38815
2014.05.15,00:00,1.37142,1.37317,1.36479,1.37089,47414
2014.05.16,00:00,1.37086,1.37262,1.36849,1.36933,36085
2014.05.19,00:00,1.36920,1.37336,1.36919,1.37084,35518
2014.05.20,00:00,1.37085,1.37133,1.36776,1.37009,32391
2014.05.21,00:00,1.37010,1.37227,1.36343,1.36861,33794
2014.05.22,00:00,1.36862,1.36872,1.36447,1.36551,28752
2014.05.23,00:00,1.36551,1.36581,1.36151,1.36287,27540
2014.05.26,00:00,1.36219,1.36538,1.36130,1.36447,19052
2014.05.27,00:00,1.36452,1.36680,1.36121,1.36337,30554
2014.05.28,00:00,1.36337,1.36372,1.35880,1.35903,30140
2014.05.29,00:00,1.35902,1.36251,1.35856,1.36010,29253
2014.05.30,00:00,1.36009,1.36496,1.35979,1.36339,31118
2014.06.02,00:00,1.36353,1.36362,1.35877,1.35958,29375
2014.06.03,00:00,1.35958,1.36471,1.35868,1.36267,29634
2014.06.04,00:00,1.36269,1.36381,1.35959,1.35978,32960
2014.06.05,00:00,1.35978,1.36692,1.35025,1.36596,46643
2014.06.06,00:00,1.36596,1.36762,1.36204,1.36420,37387
2014.06.09,00:00,1.36412,1.36679,1.35820,1.35925,29207
2014.06.10,00:00,1.35916,1.36014,1.35329,1.35456,35950
2014.06.11,00:00,1.35456,1.35565,1.35209,1.35305,35410
2014.06.12,00:00,1.35303,1.35713,1.35117,1.35512,40795
2014.06.13,00:00,1.35510,1.35784,1.35205,1.35402,38266
2014.06.16,00:00,1.35394,1.35787,1.35125,1.35727,31748
2014.06.17,00:00,1.35726,1.35863,1.35356,1.35460,32501
2014.06.18,00:00,1.35460,1.35986,1.35409,1.35948,36092
2014.06.19,00:00,1.35947,1.36427,1.35834,1.36069,36734
2014.06.20,00:00,1.36070,1.36332,1.35637,1.35989,31420
2014.06.23,00:00,1.35907,1.36127,1.35734,1.36035,29394
2014.06.24,00:00,1.36036,1.36271,1.35827,1.36057,31025
2014.06.25,00:00,1.36058,1.36505,1.35998,1.36282,28807
2014.06.26,00:00,1.36281,1.36406,1.35753,1.36105,30560
2014.06.27,00:00,1.36105,1.36499,1.36087,1.36485,29679
2014.06.30,00:00,1.36418,1.36970,1.36396,1.36913,30607
2014.07.01,00:00,1.36913,1.36997,1.36749,1.36781,29864
2014.07.02,00:00,1.36781,1.36818,1.36417,1.36584,27564
2014.07.03,00:00,1.36585,1.36636,1.35955,1.36093,33639
2014.07.04,00:00,1.36094,1.36106,1.35848,1.35940,20417
2014.07.07,00:00,1.35937,1.36086,1.35752,1.36039,24803
2014.07.08,00:00,1.36038,1.36166,1.35874,1.36113,24991
2014.07.09,00:00,1.36115,1.36476,1.36016,1.36407,31205
2014.07.10,00:00,1.36406,1.36499,1.35885,1.36076,32364
2014.07.11,00:00,1.36077,1.36241,1.35914,1.36050,27299
2014.07.14,00:00,1.35975,1.36395,1.35967,1.36180,26539
2014.07.15,00:00,1.36178,1.36272,1.35613,1.35674,35717
2014.07.16,00:00,1.35671,1.35713,1.35202,1.35241,30660
2014.07.17,00:00,1.35241,1.35396,1.35159,1.35253,31842
2014.07.18,00:00,1.35253,1.35355,1.34903,1.35231,33045
2014.07.21,00:00,1.35275,1.35483,1.35123,1.35228,25102
2014.07.22,00:00,1.35226,1.35289,1.34585,1.34648,30913
2014.07.23,00:00,1.34647,1.34734,1.34543,1.34626,25464
2014.07.24,00:00,1.34626,1.34841,1.34374,1.34629,29430
2014.07.25,00:00,1.34629,1.34748,1.34205,1.34291,29886
2014.07.28,00:00,1.34300,1.34432,1.34262,1.34387,24272
2014.07.29,00:00,1.34388,1.34438,1.34036,1.34076,30835
2014.07.30,00:00,1.34075,1.34146,1.33662,1.33960,40312
2014.07.31,00:00,1.33961,1.33998,1.33708,1.33896,35283
2014.08.01,00:00,1.33893,1.34441,1.33778,1.34278,39426
2014.08.04,00:00,1.34296,1.34326,1.34087,1.34208,27595
2014.08.05,00:00,1.34209,1.34241,1.33575,1.33754,32986
2014.08.06,00:00,1.33753,1.33862,1.33324,1.33818,36531
2014.08.07,00:00,1.33815,1.33929,1.33365,1.33626,36337
2014.08.08,00:00,1.33624,1.34320,1.33428,1.34093,37938
2014.08.11,00:00,1.34084,1.34105,1.33798,1.33843,24007
2014.08.12,00:00,1.33840,1.33852,1.33353,1.33683,28149
2014.08.13,00:00,1.33683,1.34144,1.33416,1.33633,31606
2014.08.14,00:00,1.33633,1.34070,1.33479,1.33642,31171
2014.08.15,00:00,1.33640,1.34110,1.33580,1.33985,31789
2014.08.18,00:00,1.33906,1.33985,1.33522,1.33629,24351
2014.08.19,00:00,1.33628,1.33637,1.33126,1.33190,29983
2014.08.20,00:00,1.33191,1.33236,1.32546,1.32590,35414
2014.08.21,00:00,1.32590,1.32878,1.32413,1.32798,31101
2014.08.22,00:00,1.32800,1.32961,1.32201,1.32387,32553
2014.08.25,00:00,1.31997,1.32097,1.31830,1.31913,27552
2014.08.26,00:00,1.31913,1.32140,1.31639,1.31667,33837
2014.08.27,00:00,1.31667,1.32093,1.31520,1.31922,34965
2014.08.28,00:00,1.31920,1.32200,1.31591,1.31809,35994
2014.08.29,00:00,1.31811,1.31954,1.31312,1.31315,33625
2014.09.01,00:00,1.31274,1.31447,1.31184,1.31274,23463
2014.09.02,00:00,1.31272,1.31362,1.31097,1.31316,33801
2014.09.03,00:00,1.31321,1.31593,1.31216,1.31495,36183
2014.09.04,00:00,1.31493,1.31534,1.29193,1.29426,45597
2014.09.05,00:00,1.29425,1.29871,1.29213,1.29505,45353
2014.09.08,00:00,1.29531,1.29583,1.28813,1.28939,47282
2014.09.09,00:00,1.28938,1.29566,1.28587,1.29368,55606
2014.09.10,00:00,1.29368,1.29621,1.28831,1.29164,59064
2014.09.11,00:00,1.29163,1.29511,1.28964,1.29238,53323
2014.09.12,00:00,1.29232,1.29785,1.29084,1.29633,51424
2014.09.15,00:00,1.29700,1.29722,1.29078,1.29393,32343
2014.09.16,00:00,1.29392,1.29943,1.29217,1.29587,39881
2014.09.17,00:00,1.29587,1.29807,1.28514,1.28645,43235
2014.09.18,00:00,1.28645,1.29295,1.28338,1.29222,51199
2014.09.19,00:00,1.29221,1.29281,1.28272,1.28280,61045
2014.09.22,00:00,1.28331,1.28670,1.28158,1.28484,43926
2014.09.23,00:00,1.28488,1.29005,1.28420,1.28459,46540
2014.09.24,00:00,1.28460,1.28631,1.27735,1.27794,48749
2014.09.25,00:00,1.27795,1.27825,1.26977,1.27501,59094
2014.09.26,00:00,1.27500,1.27601,1.26762,1.26819,50444
2014.09.29,00:00,1.26818,1.27142,1.26631,1.26847,51288
2014.09.30,00:00,1.26846,1.27016,1.25704,1.26298,60044
2014.10.01,00:00,1.26300,1.26390,1.25828,1.26217,61142
2014.10.02,00:00,1.26215,1.26983,1.26132,1.26679,73679
2014.10.03,00:00,1.26680,1.26739,1.24999,1.25154,56703
2014.10.06,00:00,1.25119,1.26738,1.25082,1.26541,55701
2014.10.07,00:00,1.26541,1.26813,1.25831,1.26681,73311
2014.10.08,00:00,1.26691,1.27481,1.26220,1.27329,80526
2014.10.09,00:00,1.27326,1.27906,1.26636,1.26900,83818
2014.10.10,00:00,1.26900,1.27152,1.26048,1.26276,64788
2014.10.13,00:00,1.26302,1.27604,1.26200,1.27511,61850
2014.10.14,00:00,1.27508,1.27674,1.26394,1.26569,71784
2014.10.15,00:00,1.26569,1.28860,1.26241,1.28368,94368
2014.10.16,00:00,1.28369,1.28442,1.27052,1.28080,93036
2014.10.17,00:00,1.28079,1.28362,1.27431,1.27599,60085
2014.10.20,00:00,1.27501,1.28161,1.27306,1.27990,53782
2014.10.21,00:00,1.27991,1.28397,1.27138,1.27151,63302
2014.10.22,00:00,1.27151,1.27390,1.26365,1.26469,63625
2014.10.23,00:00,1.26489,1.26756,1.26129,1.26452,68111
2014.10.24,00:00,1.26454,1.26950,1.26342,1.26695,50139
2014.10.27,00:00,1.26728,1.27225,1.26650,1.26966,50766
2014.10.28,00:00,1.26967,1.27638,1.26839,1.27327,55064
2014.10.29,00:00,1.27326,1.27699,1.26258,1.26356,55214
2014.10.30,00:00,1.26352,1.26387,1.25469,1.26126,68944
2014.10.31,00:00,1.26125,1.26151,1.24853,1.25189,82969
2014.11.03,00:00,1.25054,1.25131,1.24404,1.24802,72458
2014.11.04,00:00,1.24801,1.25768,1.24801,1.25450,72707
2014.11.05,00:00,1.25449,1.25666,1.24570,1.24852,80402
2014.11.06,00:00,1.24850,1.25326,1.23643,1.23739,92974
2014.11.07,00:00,1.23740,1.24688,1.23573,1.24543,91405
2014.11.10,00:00,1.24699,1.25083,1.24181,1.24194,68916
2014.11.11,00:00,1.24194,1.24984,1.23940,1.24738,70500
2014.11.12,00:00,1.24740,1.24972,1.24188,1.24370,86019
2014.11.13,00:00,1.24369,1.24909,1.24258,1.24756,72668
2014.11.14,00:00,1.24757,1.25451,1.23982,1.25237,83996
2014.11.17,00:00,1.25312,1.25767,1.24447,1.24483,73436
2014.11.18,00:00,1.24483,1.25442,1.24430,1.25338,69918
2014.11.19,00:00,1.25339,1.25993,1.25117,1.25528,76320
2014.11.20,00:00,1.25529,1.25743,1.25038,1.25379,85716
2014.11.21,00:00,1.25378,1.25675,1.23745,1.23897,87845
2014.11.24,00:00,1.23623,1.24441,1.23620,1.24411,67312
2014.11.25,00:00,1.24411,1.24861,1.24017,1.24734,70676
2014.11.26,00:00,1.24733,1.25305,1.24432,1.25050,69624
2014.11.27,00:00,1.25046,1.25229,1.24641,1.24661,53348
2014.11.28,00:00,1.24661,1.24896,1.24258,1.24501,67679
2014.12.01,00:00,1.24607,1.25061,1.24189,1.24685,76637
2014.12.02,00:00,1.24686,1.24754,1.23763,1.23819,65864
2014.12.03,00:00,1.23817,1.23900,1.23006,1.23097,74949
2014.12.04,00:00,1.23096,1.24556,1.22802,1.23779,80445
2014.12.05,00:00,1.23778,1.23922,1.22706,1.22835,73163
2014.12.08,00:00,1.22864,1.23432,1.22467,1.23147,70226
2014.12.09,00:00,1.23146,1.24469,1.22915,1.23738,90377
2014.12.10,00:00,1.23737,1.24476,1.23614,1.24469,91980
2014.12.11,00:00,1.24470,1.24942,1.23696,1.24100,99304
2014.12.12,00:00,1.24100,1.24844,1.23837,1.24600,89886
2014.12.15,00:00,1.24733,1.24779,1.24140,1.24362,92716
2014.12.16,00:00,1.24363,1.25688,1.24333,1.25095,100242
2014.12.17,00:00,1.25083,1.25150,1.23206,1.23439,86333
2014.12.18,00:00,1.23400,1.23519,1.22651,1.22851,89555
2014.12.19,00:00,1.22851,1.23014,1.22197,1.22261,81730
2014.12.22,00:00,1.22225,1.22719,1.22160,1.22286,59792
2014.12.23,00:00,1.22289,1.22450,1.21642,1.21717,62454
2014.12.24,00:00,1.21717,1.22194,1.21688,1.21888,43867
2014.12.26,00:00,1.22081,1.22103,1.21681,1.21788,25517
2014.12.29,00:00,1.21802,1.22203,1.21424,1.21509,55660
2014.12.30,00:00,1.21508,1.21867,1.21234,1.21564,63081
2014.12.31,00:00,1.21560,1.21690,1.20968,1.20990,47205
2015.01.02,00:00,1.20538,1.20690,1.19997,1.20014,53082
2015.01.05,00:00,1.19455,1.19757,1.18642,1.19317,95138
2015.01.06,00:00,1.19318,1.19682,1.18836,1.18887,91697
2015.01.07,00:00,1.18889,1.18956,1.18014,1.18386,98091
2015.01.08,00:00,1.18386,1.18467,1.17536,1.17899,82607
2015.01.09,00:00,1.17901,1.18450,1.17623,1.18402,91033
2015.01.12,00:00,1.18481,1.18702,1.17856,1.18325,80994
2015.01.13,00:00,1.18324,1.18589,1.17529,1.17718,93072
2015.01.14,00:00,1.17712,1.18451,1.17267,1.17881,101188
2015.01.15,00:00,1.17882,1.17921,1.15673,1.16298,123476
2015.01.16,00:00,1.16305,1.16479,1.14594,1.15650,121343
2015.01.19,00:00,1.15532,1.16381,1.15506,1.16060,80164
2015.01.20,00:00,1.16038,1.16138,1.15396,1.15479,85584
2015.01.21,00:00,1.15480,1.16790,1.15405,1.16086,95042
2015.01.22,00:00,1.16090,1.16485,1.13156,1.13639,108286
2015.01.23,00:00,1.13619,1.13731,1.11145,1.12032,118902
2015.01.26,00:00,1.11500,1.12945,1.10970,1.12373,100138
2015.01.27,00:00,1.12377,1.14219,1.12230,1.13794,102176
2015.01.28,00:00,1.13764,1.13821,1.12755,1.12858,98938
2015.01.29,00:00,1.12857,1.13670,1.12612,1.13184,90368
2015.01.30,00:00,1.13154,1.13628,1.12767,1.12844,88778
2015.02.02,00:00,1.13079,1.13608,1.12915,1.13400,78713
2015.02.03,00:00,1.13398,1.15333,1.13122,1.14774,93195
2015.02.04,00:00,1.14771,1.14840,1.13149,1.13429,87249
2015.02.05,00:00,1.13425,1.14982,1.13032,1.14757,81309
2015.02.06,00:00,1.14755,1.14848,1.13108,1.13127,65277
2015.02.09,00:00,1.12938,1.13588,1.12694,1.13221,61922
2015.02.10,00:00,1.13230,1.13444,1.12723,1.13196,61271
2015.02.11,00:00,1.13190,1.13464,1.12792,1.13335,55782
2015.02.12,00:00,1.13326,1.14221,1.13011,1.14020,71776
2015.02.13,00:00,1.14012,1.14422,1.13791,1.13875,66713
2015.02.16,00:00,1.13917,1.14282,1.13186,1.13516,51910
2015.02.17,00:00,1.13532,1.14482,1.13212,1.14098,70812
2015.02.18,00:00,1.14095,1.14150,1.13334,1.13956,70594
2015.02.19,00:00,1.13958,1.14493,1.13548,1.13668,73367
2015.02.20,00:00,1.13625,1.14285,1.12785,1.13783,87068
2015.02.23,00:00,1.13939,1.13950,1.12946,1.13336,67925
2015.02.24,00:00,1.13334,1.13574,1.12889,1.13394,76813
2015.02.25,00:00,1.13392,1.13879,1.13351,1.13601,72610
2015.02.26,00:00,1.13596,1.13789,1.11832,1.11970,78974
2015.02.27,00:00,1.11969,1.12446,1.11757,1.11932,82078
2015.03.02,00:00,1.11813,1.12400,1.11595,1.11828,67501
2015.03.03,00:00,1.11821,1.12169,1.11541,1.11749,71657
2015.03.04,00:00,1.11749,1.11850,1.10611,1.10767,75548
2015.03.05,00:00,1.10765,1.11128,1.09868,1.10283,84858
2015.03.06,00:00,1.10244,1.10320,1.08385,1.08404,85220
2015.03.09,00:00,1.08331,1.09059,1.08221,1.08517,73363
2015.03.10,00:00,1.08517,1.08549,1.06668,1.06784,104217
2015.03.11,00:00,1.06789,1.07161,1.05107,1.05442,111243
2015.03.12,00:00,1.05443,1.06828,1.04939,1.06238,111886
2015.03.13,00:00,1.06238,1.06331,1.04617,1.04942,96275
2015.03.16,00:00,1.04910,1.06189,1.04789,1.05664,84194
2015.03.17,00:00,1.05663,1.06502,1.05508,1.05963,78227
