Date,Time,Open,High,Low,Close,Volume
2020.07.07,15:00,1.12903,1.13002,1.12867,1.12977,2923
2020.07.07,16:00,1.1298,1.13064,1.12842,1.12852,4592
2020.07.07,17:00,1.12851,1.12927,1.12712,1.12838,6157
2020.07.07,18:00,1.12837,1.13031,1.12827,1.12973,4140
2020.07.07,19:00,1.12973,1.12997,1.12853,1.12898,3211
2020.07.07,20:00,1.12899,1.12955,1.12848,1.1295,2705
2020.07.07,21:00,1.12951,1.1298,1.12826,1.12854,2553
2020.07.07,22:00,1.12853,1.12862,1.12709,1.12712,2808
2020.07.07,23:00,1.12713,1.12747,1.12683,1.12724,1044
2020.07.08,00:00,1.12722,1.12756,1.12685,1.12742,779
2020.07.08,01:00,1.12743,1.12751,1.12713,1.12736,996
2020.07.08,02:00,1.12734,1.12774,1.12718,1.12741,760
2020.07.08,03:00,1.12742,1.12822,1.12647,1.12685,2334
2020.07.08,04:00,1.12685,1.12787,1.12678,1.12712,2419
2020.07.08,05:00,1.12713,1.12792,1.12706,1.12783,1890
2020.07.08,06:00,1.12782,1.128,1.12754,1.12776,1510
2020.07.08,07:00,1.12775,1.12783,1.12734,1.1276,1073
2020.07.08,08:00,1.12761,1.12821,1.1273,1.12754,1322
2020.07.08,09:00,1.12755,1.12773,1.12618,1.12758,3053
2020.07.08,10:00,1.12755,1.12938,1.1272,1.12881,4475
2020.07.08,11:00,1.12881,1.12933,1.12777,1.12783,4094
2020.07.08,12:00,1.12783,1.12823,1.12655,1.12747,4124
2020.07.08,13:00,1.12747,1.12831,1.12671,1.12818,2952
2020.07.08,14:00,1.12821,1.1295,1.12757,1.12886,3048
2020.07.08,15:00,1.1289,1.12913,1.12775,1.12877,3818
2020.07.08,16:00,1.1288,1.13333,1.1287,1.13293,6436
2020.07.08,17:00,1.13296,1.13425,1.13249,1.13273,6535
2020.07.08,18:00,1.13276,1.13295,1.13145,1.13276,5441
2020.07.08,19:00,1.13275,1.13511,1.13259,1.13356,4044
2020.07.08,20:00,1.13355,1.13417,1.13297,1.13336,2621
2020.07.08,21:00,1.13333,1.13375,1.13325,1.13352,2460
2020.07.08,22:00,1.13351,1.13361,1.13273,1.13317,2697
2020.07.08,23:00,1.13311,1.13334,1.13288,1.1329,1187
2020.07.09,00:00,1.13289,1.13347,1.13259,1.13312,681
2020.07.09,01:00,1.13299,1.13331,1.13283,1.13319,817
2020.07.09,02:00,1.13318,1.1338,1.13312,1.13367,682
2020.07.09,03:00,1.13367,1.13463,1.13327,1.13334,1841
2020.07.09,04:00,1.13332,1.13387,1.13272,1.13377,2562
2020.07.09,05:00,1.13372,1.13471,1.13353,1.13462,2116
2020.07.09,06:00,1.1346,1.13635,1.13432,1.13619,2059
2020.07.09,07:00,1.13617,1.13703,1.13611,1.13646,2493
2020.07.09,08:00,1.13647,1.13674,1.13581,1.13639,1870
2020.07.09,09:00,1.1364,1.1367,1.13539,1.13552,3418
2020.07.09,10:00,1.13551,1.13612,1.13248,1.13358,6042
2020.07.09,11:00,1.1336,1.13447,1.13269,1.13289,4359
2020.07.09,12:00,1.13289,1.1334,1.13196,1.13306,4451
2020.07.09,13:00,1.13305,1.1332,1.13158,1.13218,3975
2020.07.09,14:00,1.13219,1.13449,1.13208,1.13423,4000
2020.07.09,15:00,1.13425,1.13483,1.13331,1.13433,4129
2020.07.09,16:00,1.13433,1.13479,1.13213,1.1326,5582
2020.07.09,17:00,1.13259,1.1338,1.12897,1.12949,10245
2020.07.09,18:00,1.12948,1.13031,1.1285,1.12974,8301
2020.07.09,19:00,1.12972,1.13037,1.12883,1.12901,3953
2020.07.09,20:00,1.129,1.12944,1.12875,1.12919,2505
2020.07.09,21:00,1.12916,1.12968,1.12898,1.12967,1927
2020.07.09,22:00,1.12968,1.12968,1.12838,1.12848,2395
2020.07.09,23:00,1.12849,1.12863,1.12798,1.12843,1281
2020.07.10,00:00,1.12842,1.12854,1.12805,1.12841,562
2020.07.10,01:00,1.12841,1.12877,1.12831,1.1287,662
2020.07.10,02:00,1.12867,1.12897,1.12843,1.12875,590
2020.07.10,03:00,1.12878,1.12886,1.12705,1.12749,1946
2020.07.10,04:00,1.12749,1.12781,1.12704,1.1278,2360
2020.07.10,05:00,1.12777,1.12777,1.1269,1.12723,1484
2020.07.10,06:00,1.12722,1.12744,1.12707,1.12739,1298
2020.07.10,07:00,1.12738,1.12741,1.12676,1.12707,1290
2020.07.10,08:00,1.12707,1.12738,1.12628,1.12688,1898
2020.07.10,09:00,1.12691,1.12723,1.12577,1.12645,3432
2020.07.10,10:00,1.12644,1.12804,1.12545,1.12786,5240
2020.07.10,11:00,1.12788,1.12908,1.12775,1.12855,4127
2020.07.10,12:00,1.12855,1.12945,1.12849,1.12905,4570
2020.07.10,13:00,1.12906,1.12971,1.12902,1.12934,3262
2020.07.10,14:00,1.12937,1.13002,1.12847,1.12859,2532
2020.07.10,15:00,1.12869,1.12936,1.12732,1.12926,4001
2020.07.10,16:00,1.12927,1.13143,1.12926,1.13069,6712
2020.07.10,17:00,1.13067,1.13244,1.13009,1.1319,6514
2020.07.10,18:00,1.1319,1.13196,1.13091,1.13164,3936
2020.07.10,19:00,1.13161,1.13165,1.12964,1.12993,3168
2020.07.10,20:00,1.12992,1.13055,1.12948,1.13051,2026
2020.07.10,21:00,1.1305,1.13051,1.12978,1.12981,1564
2020.07.10,22:00,1.12978,1.13025,1.12952,1.13,1878
2020.07.10,23:00,1.13001,1.13033,1.12945,1.12962,795
2020.07.13,00:00,1.13034,1.13074,1.13015,1.13038,250
2020.07.13,01:00,1.13037,1.13153,1.13024,1.13153,1358
2020.07.13,02:00,1.1316,1.13168,1.13081,1.13082,1590
2020.07.13,03:00,1.13083,1.13142,1.13032,1.13139,1875
2020.07.13,04:00,1.13139,1.13238,1.13137,1.1319,2394
2020.07.13,05:00,1.13191,1.13262,1.1318,1.13241,1513
2020.07.13,06:00,1.13241,1.13298,1.13233,1.13263,1681
2020.07.13,07:00,1.13266,1.13272,1.13205,1.1322,1037
2020.07.13,08:00,1.13224,1.13356,1.1321,1.13287,1718
2020.07.13,09:00,1.13287,1.13341,1.13231,1.13303,2849
2020.07.13,10:00,1.13303,1.13322,1.13132,1.13179,4724
2020.07.13,11:00,1.13181,1.13185,1.13005,1.13083,4136
2020.07.13,12:00,1.13084,1.13199,1.13037,1.13186,3494
2020.07.13,13:00,1.13185,1.13347,1.13185,1.13292,3289
2020.07.13,14:00,1.13292,1.1338,1.13256,1.13338,3495
2020.07.13,15:00,1.13339,1.13379,1.13237,1.13252,3577
2020.07.13,16:00,1.13253,1.13574,1.13249,1.13528,5235
2020.07.13,17:00,1.13531,1.13698,1.13517,1.13671,5211
2020.07.13,18:00,1.13673,1.13706,1.13553,1.13638,4421
2020.07.13,19:00,1.13637,1.13745,1.13571,1.13671,3212
2020.07.13,20:00,1.1367,1.13743,1.13646,1.13691,2352
2020.07.13,21:00,1.13691,1.13698,1.13509,1.13522,4089
2020.07.13,22:00,1.13522,1.13567,1.13423,1.13492,5124
2020.07.13,23:00,1.13494,1.13495,1.1341,1.13432,1445
2020.07.14,00:00,1.13428,1.13491,1.13405,1.13441,1106
2020.07.14,01:00,1.13446,1.1349,1.13414,1.13444,1237
2020.07.14,02:00,1.13445,1.13498,1.1344,1.13443,1202
2020.07.14,03:00,1.13444,1.13477,1.13397,1.13445,1859
2020.07.14,04:00,1.13445,1.13482,1.1337,1.13429,2336
2020.07.14,05:00,1.13426,1.1346,1.13349,1.13383,1929
2020.07.14,06:00,1.13383,1.13422,1.1338,1.13417,1356
2020.07.14,07:00,1.13416,1.1345,1.13399,1.13445,968
2020.07.14,08:00,1.13443,1.1346,1.13374,1.13378,1320
2020.07.14,09:00,1.13378,1.13485,1.13366,1.13425,2735
2020.07.14,10:00,1.13432,1.1344,1.13247,1.13307,4844
2020.07.14,11:00,1.13307,1.13582,1.13301,1.13502,4717
2020.07.14,12:00,1.13502,1.13656,1.13469,1.13601,5296
2020.07.14,13:00,1.13598,1.13732,1.13515,1.13702,4296
2020.07.14,14:00,1.137,1.13809,1.13643,1.13771,4735
2020.07.14,15:00,1.13774,1.13801,1.13628,1.13714,5338
2020.07.14,16:00,1.13716,1.1393,1.13608,1.13893,8837
2020.07.14,17:00,1.13892,1.14053,1.13846,1.13989,9761
2020.07.14,18:00,1.13991,1.14063,1.13926,1.14054,6845
2020.07.14,19:00,1.14052,1.14083,1.14006,1.14028,3154
2020.07.14,20:00,1.1403,1.1405,1.13916,1.13964,2653
2020.07.14,21:00,1.13964,1.14033,1.13925,1.13929,3364
2020.07.14,22:00,1.13928,1.13943,1.13864,1.13884,3122
2020.07.14,23:00,1.13883,1.14007,1.13881,1.1399,1049
2020.07.15,00:00,1.1399,1.14025,1.13923,1.14018,1368
2020.07.15,01:00,1.14018,1.14118,1.14007,1.14083,1377
2020.07.15,02:00,1.14083,1.14106,1.14045,1.14096,1070
2020.07.15,03:00,1.14098,1.14228,1.14088,1.14124,2633
2020.07.15,04:00,1.14125,1.14206,1.1409,1.14113,2611
2020.07.15,05:00,1.14116,1.14116,1.13996,1.14023,1726
2020.07.15,06:00,1.14021,1.1404,1.13949,1.13973,1688
2020.07.15,07:00,1.13971,1.1401,1.13936,1.13947,1238
2020.07.15,08:00,1.13948,1.13995,1.13907,1.13992,1371
2020.07.15,09:00,1.13991,1.14135,1.13952,1.1405,2626
2020.07.15,10:00,1.14053,1.14371,1.13982,1.14321,5556
