Date,Time,Open,High,Low,Close,Volume
2017.03.14,16:00,1.63771,1.64065,1.63507,1.64050,33946
2017.03.14,20:00,1.64050,1.64083,1.63665,1.63839,15197
2017.03.15,00:00,1.63828,1.63885,1.63691,1.63820,9533
2017.03.15,04:00,1.63821,1.63922,1.63684,1.63902,10063
2017.03.15,08:00,1.63904,1.64917,1.63876,1.64187,31006
2017.03.15,12:00,1.64188,1.64310,1.63899,1.64252,25225
2017.03.15,16:00,1.64250,1.64430,1.63901,1.64090,34966
2017.03.15,20:00,1.64090,1.64335,1.63261,1.63382,42337
2017.03.16,00:00,1.63382,1.63482,1.63034,1.63161,17687
2017.03.16,04:00,1.63158,1.63287,1.63106,1.63147,15210
2017.03.16,08:00,1.63146,1.63369,1.62888,1.63085,29260
2017.03.16,12:00,1.63084,1.64677,1.62930,1.64026,40568
2017.03.16,16:00,1.64026,1.64811,1.64023,1.64605,30127
2017.03.16,20:00,1.64608,1.64942,1.64419,1.64506,20652
2017.03.17,00:00,1.64507,1.64599,1.64445,1.64487,11022
2017.03.17,04:00,1.64486,1.64581,1.64406,1.64578,8286
2017.03.17,08:00,1.64582,1.65207,1.64320,1.65035,28442
2017.03.17,12:00,1.65040,1.65136,1.64368,1.64563,33458
2017.03.17,16:00,1.64563,1.65451,1.64528,1.65219,33915
2017.03.17,20:00,1.65218,1.65444,1.65158,1.65424,10757
2017.03.20,00:00,1.65156,1.65346,1.65012,1.65065,9758
2017.03.20,04:00,1.65065,1.65092,1.64911,1.65042,8961
2017.03.20,08:00,1.65042,1.65790,1.65013,1.65685,26200
2017.03.20,12:00,1.65685,1.65697,1.65237,1.65557,30111
2017.03.20,16:00,1.65557,1.65603,1.64744,1.64829,31488
2017.03.20,20:00,1.64828,1.65035,1.64792,1.64989,11210
2017.03.21,00:00,1.64989,1.65021,1.64814,1.65005,13728
2017.03.21,04:00,1.65004,1.65114,1.64934,1.64967,11222
2017.03.21,08:00,1.64963,1.66137,1.64842,1.66072,31422
2017.03.21,12:00,1.66074,1.66193,1.65252,1.65541,37278
2017.03.21,16:00,1.65540,1.66608,1.65416,1.66508,41019
2017.03.21,20:00,1.66506,1.66772,1.66397,1.66466,15058
2017.03.22,00:00,1.66467,1.66927,1.66467,1.66863,11377
2017.03.22,04:00,1.66862,1.66928,1.66756,1.66780,10637
2017.03.22,08:00,1.66781,1.67105,1.66648,1.66836,30016
2017.03.22,12:00,1.66837,1.67013,1.66365,1.66634,31905
2017.03.22,16:00,1.66634,1.66858,1.66137,1.66390,41456
2017.03.22,20:00,1.66392,1.66639,1.66245,1.66326,14798
2017.03.23,00:00,1.66329,1.66370,1.66184,1.66295,11401
2017.03.23,04:00,1.66295,1.66363,1.66241,1.66281,7747
2017.03.23,08:00,1.66280,1.67148,1.66279,1.66673,26211
2017.03.23,12:00,1.66676,1.66962,1.66392,1.66818,30250
2017.03.23,16:00,1.66822,1.67081,1.66736,1.66867,30493
2017.03.23,20:00,1.66864,1.67224,1.66862,1.67080,13051
2017.03.24,00:00,1.67081,1.67191,1.66754,1.66880,10114
2017.03.24,04:00,1.66881,1.67033,1.66765,1.66828,10669
2017.03.24,08:00,1.66829,1.67014,1.66597,1.66824,22742
