Date,Time,Open,High,Low,Close,Volume
2016.10.20,12:00,4840.30000,4840.60000,4828.30000,4834.30000,1998
2016.10.20,16:00,4834.10000,4844.80000,4805.80000,4837.60000,15592
2016.10.20,20:00,4837.70000,4842.30000,4820.20000,4834.20000,7518
2016.10.21,00:00,4845.60000,4855.80000,4845.60000,4849.10000,1092
2016.10.21,04:00,4849.30000,4851.30000,4844.30000,4846.10000,1165
2016.10.21,08:00,4845.80000,4851.60000,4839.30000,4841.10000,4796
2016.10.21,12:00,4841.10000,4850.60000,4840.30000,4842.30000,4129
2016.10.21,16:00,4842.30000,4852.10000,4821.60000,4846.60000,14632
2016.10.21,20:00,4846.80000,4854.80000,4841.30000,4852.10000,5309
2016.10.24,00:00,4846.70000,4859.80000,4846.70000,4855.60000,1191
2016.10.24,04:00,4855.30000,4858.10000,4849.60000,4856.60000,1796
2016.10.24,08:00,4856.60000,4881.80000,4856.30000,4878.10000,4050
2016.10.24,12:00,4878.30000,4883.80000,4877.10000,4883.60000,2469
2016.10.24,16:00,4883.60000,4905.60000,4881.80000,4899.10000,10216
2016.10.24,20:00,4899.30000,4914.10000,4898.60000,4910.90000,4760
2016.10.25,00:00,4909.60000,4915.40000,4907.20000,4915.20000,917
2016.10.25,04:00,4915.70000,4922.70000,4913.70000,4919.70000,1239
2016.10.25,08:00,4919.70000,4925.90000,4918.20000,4925.40000,3450
2016.10.25,12:00,4925.40000,4926.40000,4913.70000,4918.40000,2671
2016.10.25,16:00,4918.20000,4918.70000,4889.90000,4895.70000,11951
2016.10.25,20:00,4895.60000,4901.20000,4887.70000,4893.70000,5638
2016.10.26,00:00,4880.40000,4882.50000,4874.60000,4878.50000,1522
2016.10.26,04:00,4878.50000,4882.30000,4876.00000,4878.50000,1160
2016.10.26,08:00,4878.80000,4882.50000,4864.00000,4866.50000,5460
2016.10.26,12:00,4866.30000,4875.50000,4860.30000,4870.00000,4920
2016.10.26,16:00,4869.80000,4888.80000,4849.00000,4873.00000,14624
2016.10.26,20:00,4873.10000,4875.30000,4846.80000,4861.50000,7145
2016.10.27,00:00,4854.30000,4862.70000,4854.30000,4855.40000,933
2016.10.27,04:00,4855.70000,4863.70000,4853.40000,4855.70000,1368
2016.10.27,08:00,4855.90000,4871.90000,4849.40000,4855.70000,6416
2016.10.27,12:00,4855.40000,4887.40000,4851.40000,4886.40000,5673
2016.10.27,16:00,4886.70000,4887.40000,4847.20000,4851.20000,15882
2016.10.27,20:00,4850.90000,4857.40000,4831.70000,4839.50000,8589
2016.10.28,00:00,4824.00000,4829.30000,4820.80000,4826.60000,1069
2016.10.28,04:00,4826.60000,4827.10000,4820.60000,4822.60000,1134
2016.10.28,08:00,4822.80000,4824.30000,4795.80000,4806.80000,6874
2016.10.28,12:00,4807.30000,4829.80000,4806.60000,4825.30000,6379
2016.10.28,16:00,4825.80000,4850.60000,4807.10000,4842.60000,18551
2016.10.28,20:00,4842.40000,4844.80000,4794.30000,4806.80000,24490
2016.10.31,00:00,4807.70000,4814.30000,4796.30000,4812.80000,2520
2016.10.31,04:00,4812.80000,4837.30000,4811.80000,4836.50000,2374
2016.10.31,08:00,4837.00000,4837.50000,4825.00000,4830.00000,3340
2016.10.31,12:00,4829.80000,4833.50000,4812.80000,4812.80000,7456
2016.10.31,16:00,4812.80000,4824.90000,4807.00000,4809.30000,12486
2016.10.31,20:00,4809.50000,4812.50000,4802.80000,4804.30000,4412
2016.11.01,00:00,4811.00000,4820.00000,4805.00000,4819.30000,1520
2016.11.01,04:00,4819.50000,4824.50000,4818.80000,4823.30000,1438
