Date,Time,Open,High,Low,Close,Volume
2016.05.18,00:00,4321.5,4360.5,4304.5,4335.3,44532
2016.05.19,00:00,4332.8,4342.3,4287.5,4319,48546
2016.05.20,00:00,4314,4380.5,4314,4362,36154
2016.05.23,00:00,4359.3,4383.1,4350,4353.8,39038
2016.05.24,00:00,4353.5,4450.3,4343,4447.5,34150
2016.05.25,00:00,4446.5,4490,4444.5,4475.8,42145
2016.05.26,00:00,4477,4495,4464.5,4494,33084
2016.05.27,00:00,4495.5,4513,4487.7,4511.5,19164
2016.05.30,00:00,4511.5,4524.5,4508,4522,12520
2016.05.31,00:00,4519,4522.8,4516.5,4520.8,333
2016.06.01,00:00,4524.8,4537.6,4503.3,4521.8,26894
2016.06.02,00:00,4522,4533.3,4491.5,4531.8,28963
2016.06.03,00:00,4526,4535,4479.2,4508.7,31165
2016.06.06,00:00,4503.8,4537.1,4503.8,4525.6,27158
2016.06.07,00:00,4525,4546.1,4511.6,4514.8,28524
2016.06.08,00:00,4513.8,4530.1,4504.1,4519.2,31466
2016.06.09,00:00,4513.5,4522.3,4493.6,4513.6,32741
2016.06.10,00:00,4507.7,4513.1,4446.4,4461.8,35816
2016.06.13,00:00,4455.2,4463.1,4420.8,4427.1,63992
2016.06.14,00:00,4421.8,4441.6,4382.9,4426.8,53718
2016.06.15,00:00,4425.6,4444.6,4405.6,4414,58122
2016.06.16,00:00,4412.1,4430.3,4361.9,4425.9,82048
2016.06.17,00:00,4424,4441.1,4362.8,4373.5,69272
2016.06.20,00:00,4372.6,4446,4365.9,4398.7,43280
2016.06.21,00:00,4415.3,4424.9,4397.4,4410.1,47899
2016.06.22,00:00,4406.4,4443.1,4399.9,4404.6,46011
2016.06.23,00:00,4398.3,4473.5,4398.3,4473.5,58158
2016.06.24,00:00,4482.8,4502.2,4217.8,4283.6,220904
2016.06.27,00:00,4242.8,4277.2,4177.7,4187.4,99723
2016.06.28,00:00,4178.1,4291.2,4178.1,4290,64539
2016.06.29,00:00,4290,4374.7,4277.7,4372.2,59543
2016.06.30,00:00,4387.8,4419.2,4348,4411.6,71083
2016.07.01,00:00,4409.7,4454.8,4394.8,4436.9,48553
2016.07.04,00:00,4437.4,4460.2,4435,4449,15554
2016.07.05,00:00,4441,4445.9,4385.4,4412.1,54189
2016.07.06,00:00,4413.1,4448.2,4373.5,4446.9,74975
2016.07.07,00:00,4439.5,4469,4435.2,4460.3,55988
2016.07.08,00:00,4454.8,4531.2,4447.7,4528.5,64286
2016.07.11,00:00,4519.4,4571.2,4519.4,4557,41701
2016.07.12,00:00,4553,4589.7,4552.3,4587.5,20678
2016.08.17,00:00,4798.1,4809.1,4773.4,4806.1,21338
2016.08.18,00:00,4803.2,4815.2,4794.1,4808.9,25299
2016.08.19,00:00,4803.3,4817.9,4786.4,4806.9,26360
2016.08.22,00:00,4803.4,4819.1,4790.9,4809.6,32514
2016.08.23,00:00,4805.5,4837.6,4804.9,4818.8,28021
2016.08.24,00:00,4812.9,4823.9,4770.9,4784.6,32570
2016.08.29,00:00,4789.8,4805.3,4786,4791.5,17168
2016.08.30,00:00,4789.1,4798.5,4760.1,4776.8,29663
2016.08.31,00:00,4771.7,4779.1,4751.6,4771.9,32633
2016.09.01,00:00,4768.5,4795.2,4749.7,4783.6,37435
2016.09.02,00:00,4772.2,4817.9,4772.2,4798.1,41895
2016.09.05,00:00,4792.6,4805.9,4782.6,4793,12822
2016.09.06,00:00,4786.9,4829.2,4786.9,4828.5,29173
2016.09.07,00:00,4825.1,4839.6,4813,4831.5,27774
2016.09.08,00:00,4823.1,4837,4789.8,4802.7,37782
2016.09.09,00:00,4789.8,4798,4681.3,4681.3,51332
2016.09.12,00:00,4664.6,4772.5,4629.2,4765,67627
2016.09.13,00:00,4760.2,4764.6,4699.8,4721.8,71532
2016.09.14,00:00,4727.1,4771.2,4724.4,4745.7,57965
2016.09.15,00:00,4728.1,4826.7,4719.6,4820.5,49973
2016.09.16,00:00,4809.8,4822.9,4792.4,4815.9,50997
2016.09.19,00:00,4811.5,4845.2,4786.3,4795.5,37864
2016.09.20,00:00,4793.8,4824.5,4793.5,4805.3,40469
2016.09.21,00:00,4797.9,4860.5,4792.5,4854,50790
2016.09.22,00:00,4855.3,4898.3,4846.6,4893,29151
2016.09.23,00:00,4887.4,4895.8,4854.9,4861.4,28981
2016.09.26,00:00,4857.3,4865.8,4813.9,4820.4,35235
2016.09.27,00:00,4814.7,4870.9,4807.1,4868.6,44480
2016.09.28,00:00,4859.5,4879.3,4850.8,4876.3,41615
2016.09.29,00:00,4867.2,4882.3,4818.7,4839.4,55887
2016.09.30,00:00,4840.1,4891.4,4817.9,4875.3,44466
2016.10.03,00:00,4863.3,4884.1,4847.6,4868,30978
2016.10.04,00:00,4866.5,4892.4,4841.1,4860.6,46740
2016.10.05,00:00,4855.9,4893.1,4853.9,4877.9,31230
2016.10.06,00:00,4873.8,4885.6,4850.4,4875.2,31410
2016.10.07,00:00,4869.4,4888.1,4839.6,4863.9,47949
2016.10.10,00:00,4867.8,4906.5,4867.8,4895,24256
2016.10.11,00:00,4891.1,4902.3,4803.4,4823.1,43017
2016.10.12,00:00,4823.8,4845.1,4805.6,4821.3,42134
