Date,Time,Open,High,Low,Close,Volume
2017.03.14,16:00,0.69124,0.69386,0.69124,0.69246,20255
2017.03.14,20:00,0.69246,0.69280,0.69155,0.69190,10178
2017.03.15,00:00,0.69189,0.69300,0.69169,0.69252,24954
2017.03.15,04:00,0.69251,0.69394,0.69249,0.69335,11830
2017.03.15,08:00,0.69336,0.69445,0.69309,0.69391,18101
2017.03.15,12:00,0.69390,0.69558,0.69342,0.69486,17895
2017.03.15,16:00,0.69485,0.69636,0.69449,0.69533,18622
2017.03.15,20:00,0.69535,0.70476,0.69385,0.70086,40114
2017.03.16,00:00,0.70086,0.70413,0.70060,0.70062,28669
2017.03.16,04:00,0.70063,0.70118,0.69854,0.69912,20905
2017.03.16,08:00,0.69913,0.70293,0.69911,0.69999,27222
2017.03.16,12:00,0.70005,0.70052,0.69720,0.69777,23826
2017.03.16,16:00,0.69778,0.69859,0.69697,0.69725,19795
2017.03.16,20:00,0.69727,0.69880,0.69671,0.69824,16188
2017.03.17,00:00,0.69822,0.69906,0.69740,0.69872,26459
2017.03.17,04:00,0.69873,0.69974,0.69801,0.69877,11667
2017.03.17,08:00,0.69879,0.70054,0.69777,0.70040,18027
2017.03.17,12:00,0.70040,0.70241,0.70023,0.70108,20044
2017.03.17,16:00,0.70112,0.70304,0.70015,0.70296,19080
2017.03.17,20:00,0.70296,0.70393,0.70077,0.70135,7987
2017.03.20,00:00,0.70154,0.70392,0.70140,0.70365,17783
2017.03.20,04:00,0.70363,0.70550,0.70303,0.70490,13518
2017.03.20,08:00,0.70489,0.70719,0.70300,0.70321,18559
2017.03.20,12:00,0.70320,0.70448,0.70277,0.70380,16228
2017.03.20,16:00,0.70380,0.70541,0.70364,0.70497,18096
2017.03.20,20:00,0.70496,0.70547,0.70423,0.70520,10748
2017.03.21,00:00,0.70519,0.70614,0.70425,0.70452,30655
2017.03.21,04:00,0.70454,0.70524,0.70311,0.70332,13963
2017.03.21,08:00,0.70333,0.70555,0.70309,0.70517,20991
2017.03.21,12:00,0.70516,0.70623,0.70461,0.70573,19534
2017.03.21,16:00,0.70572,0.70885,0.70448,0.70474,28646
2017.03.21,20:00,0.70473,0.70482,0.70310,0.70402,14916
2017.03.22,00:00,0.70402,0.70448,0.70198,0.70216,19162
2017.03.22,04:00,0.70216,0.70425,0.70149,0.70340,13360
2017.03.22,08:00,0.70341,0.70472,0.70169,0.70264,21419
2017.03.22,12:00,0.70263,0.70373,0.70207,0.70314,18504
2017.03.22,16:00,0.70311,0.70715,0.70311,0.70699,24064
2017.03.22,20:00,0.70700,0.70703,0.70336,0.70393,14971
2017.03.23,00:00,0.70393,0.70487,0.70236,0.70370,24663
2017.03.23,04:00,0.70369,0.70490,0.70327,0.70462,10709
2017.03.23,08:00,0.70461,0.70527,0.70296,0.70297,16509
2017.03.23,12:00,0.70298,0.70488,0.70291,0.70448,19914
2017.03.23,16:00,0.70445,0.70539,0.70299,0.70333,23616
2017.03.23,20:00,0.70332,0.70356,0.70224,0.70270,14176
2017.03.24,00:00,0.70271,0.70341,0.70198,0.70213,17676
2017.03.24,04:00,0.70213,0.70217,0.70012,0.70037,11883
2017.03.24,08:00,0.70037,0.70156,0.69933,0.70123,16256
2017.03.24,12:00,0.70122,0.70192,0.70038,0.70105,17144
2017.03.24,16:00,0.70104,0.70356,0.70073,0.70306,17961
2017.03.24,20:00,0.70305,0.70414,0.70253,0.70256,12043
2017.03.27,00:00,0.70249,0.70494,0.70247,0.70468,21822
2017.03.27,04:00,0.70467,0.70491,0.70387,0.70452,16417
2017.03.27,08:00,0.70451,0.70577,0.70440,0.70503,19014
2017.03.27,12:00,0.70504,0.70665,0.70452,0.70585,15482
2017.03.27,16:00,0.70585,0.70641,0.70363,0.70450,19173
2017.03.27,20:00,0.70448,0.70474,0.70362,0.70398,9843
2017.03.28,00:00,0.70398,0.70480,0.70368,0.70439,18436
2017.03.28,04:00,0.70441,0.70463,0.70345,0.70391,11350
2017.03.28,08:00,0.70392,0.70395,0.70053,0.70206,17839
2017.03.28,12:00,0.70207,0.70303,0.70137,0.70256,15232
2017.03.28,16:00,0.70258,0.70405,0.70213,0.70217,21414
2017.03.28,20:00,0.70218,0.70277,0.70056,0.70118,17761
2017.03.29,00:00,0.70094,0.70167,0.69974,0.70046,13173
2017.03.29,04:00,0.70045,0.70106,0.70018,0.70068,9490
2017.03.29,08:00,0.70068,0.70266,0.69909,0.70219,17190
2017.03.29,12:00,0.70218,0.70276,0.70115,0.70217,17367
2017.03.29,16:00,0.70216,0.70289,0.70175,0.70238,17104
2017.03.29,20:00,0.70239,0.70378,0.70228,0.70294,12716
2017.03.30,00:00,0.70292,0.70417,0.70257,0.70279,17816
2017.03.30,04:00,0.70279,0.70290,0.70171,0.70224,11775
2017.03.30,08:00,0.70225,0.70265,0.70022,0.70129,16488
2017.03.30,12:00,0.70127,0.70193,0.70083,0.70103,16079
2017.03.30,16:00,0.70102,0.70339,0.70057,0.70069,20114
2017.03.30,20:00,0.70067,0.70079,0.69875,0.69900,14476
2017.03.31,00:00,0.69912,0.70023,0.69863,0.69873,20276
2017.03.31,04:00,0.69874,0.69948,0.69797,0.69817,13469
2017.03.31,08:00,0.69817,0.69921,0.69790,0.69861,16194
2017.03.31,12:00,0.69860,0.69877,0.69750,0.69810,17159
2017.03.31,16:00,0.69809,0.70155,0.69750,0.70122,20251
2017.03.31,20:00,0.70121,0.70159,0.69996,0.70077,13112
2017.04.03,00:00,0.70004,0.70107,0.69997,0.70089,8660
2017.04.03,04:00,0.70088,0.70135,0.70000,0.70010,8564
2017.04.03,08:00,0.70010,0.70024,0.69839,0.69905,10762
2017.04.03,12:00,0.69905,0.70049,0.69886,0.70038,11491
2017.04.03,16:00,0.70038,0.70056,0.69906,0.69973,17811
2017.04.03,20:00,0.69973,0.70129,0.69954,0.70112,9438
2017.04.04,00:00,0.70098,0.70209,0.70007,0.70037,9241
2017.04.04,04:00,0.70037,0.70147,0.69807,0.69882,13336
2017.04.04,08:00,0.69883,0.69933,0.69739,0.69791,15032
2017.04.04,12:00,0.69792,0.69857,0.69696,0.69700,15007
2017.04.04,16:00,0.69699,0.69788,0.69682,0.69701,18078
2017.04.04,20:00,0.69700,0.69757,0.69696,0.69696,9756
2017.04.05,00:00,0.69694,0.69822,0.69682,0.69800,13549
2017.04.05,04:00,0.69799,0.69811,0.69688,0.69728,10165
2017.04.05,08:00,0.69727,0.69827,0.69637,0.69723,13837
2017.04.05,12:00,0.69723,0.69771,0.69621,0.69639,14538
2017.04.05,16:00,0.69639,0.69662,0.69424,0.69465,17748
2017.04.05,20:00,0.69466,0.69751,0.69377,0.69605,19852
2017.04.06,00:00,0.69605,0.69847,0.69583,0.69714,20380
2017.04.06,04:00,0.69714,0.69738,0.69592,0.69720,15315
2017.04.06,08:00,0.69720,0.69793,0.69640,0.69693,17890
