Date,Time,Open,High,Low,Close,Volume
2020.03.03,14:00,1.3369,1.33694,1.33504,1.33657,4105
2020.03.03,15:00,1.3366,1.33716,1.3347,1.33606,4498
2020.03.03,16:00,1.33606,1.33784,1.33586,1.3361,5322
2020.03.03,17:00,1.33603,1.33643,1.33181,1.33361,14195
2020.03.03,18:00,1.3336,1.33827,1.33285,1.33522,8701
2020.03.03,19:00,1.3352,1.33742,1.33463,1.33685,6985
2020.03.03,20:00,1.33686,1.33731,1.33637,1.33715,6588
2020.03.03,21:00,1.33716,1.33858,1.33587,1.33756,7696
2020.03.03,22:00,1.33752,1.33781,1.33645,1.33693,5949
2020.03.03,23:00,1.33695,1.33898,1.33655,1.33832,1435
2020.03.04,00:00,1.3376,1.33847,1.33724,1.3379,623
2020.03.04,01:00,1.33792,1.33866,1.33758,1.33764,1104
2020.03.04,02:00,1.33758,1.33766,1.33551,1.33588,1283
2020.03.04,03:00,1.33583,1.33617,1.33526,1.33615,1572
2020.03.04,04:00,1.33615,1.33641,1.33437,1.33484,1018
2020.03.04,05:00,1.33484,1.33538,1.33458,1.33532,720
2020.03.04,06:00,1.33529,1.33554,1.3351,1.33528,484
2020.03.04,07:00,1.33528,1.3356,1.33506,1.33537,732
2020.03.04,08:00,1.33536,1.33578,1.33495,1.33576,1017
2020.03.04,09:00,1.33572,1.3363,1.33528,1.33565,2013
2020.03.04,10:00,1.33565,1.33651,1.33483,1.33548,3765
2020.03.04,11:00,1.33547,1.33612,1.33521,1.33575,2527
2020.03.04,12:00,1.33574,1.33597,1.33446,1.33584,2572
2020.03.04,13:00,1.33585,1.33602,1.33475,1.33543,2222
2020.03.04,14:00,1.33544,1.33587,1.33467,1.33565,2746
2020.03.04,15:00,1.33556,1.33705,1.33505,1.33644,4294
2020.03.04,16:00,1.33644,1.33676,1.33273,1.33274,6739
2020.03.04,17:00,1.33373,1.34159,1.33373,1.33954,10109
2020.03.04,18:00,1.33952,1.34304,1.33913,1.34256,5499
2020.03.04,19:00,1.34255,1.34265,1.34043,1.34065,4355
2020.03.04,20:00,1.34065,1.34092,1.33974,1.34056,2782
2020.03.04,21:00,1.34055,1.34059,1.33935,1.34015,3373
2020.03.04,22:00,1.34021,1.34021,1.33916,1.33929,4018
2020.03.04,23:00,1.33926,1.33978,1.33827,1.33828,1267
2020.03.05,00:00,1.33828,1.33877,1.33819,1.33868,516
2020.03.05,01:00,1.33868,1.3388,1.33819,1.33855,587
2020.03.05,02:00,1.33856,1.33958,1.33856,1.33954,936
2020.03.05,03:00,1.33954,1.3401,1.33927,1.33948,956
2020.03.05,04:00,1.33948,1.3401,1.33937,1.33956,633
2020.03.05,05:00,1.33956,1.33962,1.33911,1.33953,579
2020.03.05,06:00,1.33954,1.33965,1.33923,1.33965,318
2020.03.05,07:00,1.33964,1.33965,1.33891,1.33911,535
2020.03.05,08:00,1.33911,1.33926,1.33864,1.3391,642
2020.03.05,09:00,1.33911,1.34055,1.33903,1.3402,1976
2020.03.05,10:00,1.3402,1.34098,1.34,1.34017,2845
2020.03.05,11:00,1.34022,1.34077,1.33941,1.33962,3458
2020.03.05,12:00,1.33964,1.34121,1.33916,1.34077,2794
2020.03.05,13:00,1.34078,1.34182,1.33977,1.34167,3007
2020.03.05,14:00,1.34166,1.34238,1.34131,1.34221,2815
2020.03.05,15:00,1.34221,1.34315,1.34121,1.34154,4005
2020.03.05,16:00,1.34151,1.34195,1.34072,1.34085,5262
2020.03.05,17:00,1.34085,1.341,1.33882,1.33998,5112
