Date,Time,Open,High,Low,Close,Volume
2008.07.23,00:00,1.00770,1.01180,1.00560,1.01140,6963
2008.07.24,00:00,1.01130,1.01680,1.00750,1.01530,7483
2008.07.25,00:00,1.01540,1.02060,1.01270,1.01960,6907
2008.07.28,00:00,1.01870,1.02420,1.01730,1.02190,5356
2008.07.29,00:00,1.02180,1.02720,1.02050,1.02380,5279
2008.07.30,00:00,1.02370,1.02690,1.02180,1.02310,5211
2008.07.31,00:00,1.02320,1.02650,1.02130,1.02300,6015
2008.08.01,00:00,1.02310,1.02960,1.02290,1.02710,5960
2008.08.04,00:00,1.02650,1.03700,1.02610,1.03650,5369
2008.08.05,00:00,1.03670,1.04510,1.03600,1.04260,7401
2008.08.06,00:00,1.04310,1.04940,1.03990,1.04790,5514
2008.08.07,00:00,1.04840,1.05380,1.04460,1.05240,5421
2008.08.08,00:00,1.05250,1.06960,1.05150,1.06650,8334
2008.08.11,00:00,1.06790,1.07160,1.06120,1.06920,5669
2008.08.12,00:00,1.06930,1.07270,1.06140,1.06480,7216
2008.08.13,00:00,1.06490,1.07140,1.06130,1.06210,7665
2008.08.14,00:00,1.06220,1.06550,1.05620,1.06490,7285
2008.08.15,00:00,1.06500,1.06930,1.05810,1.05910,6718
2008.08.18,00:00,1.05920,1.06470,1.05430,1.06440,5398
2008.08.19,00:00,1.06460,1.06680,1.05930,1.06070,5427
2008.08.20,00:00,1.06060,1.06510,1.05740,1.06010,4978
2008.08.21,00:00,1.06060,1.06070,1.04210,1.04410,6932
2008.08.22,00:00,1.04400,1.04850,1.04180,1.04690,4210
2008.08.25,00:00,1.04790,1.05190,1.04390,1.05050,4905
2008.08.26,00:00,1.05070,1.05600,1.04100,1.04830,7669
2008.08.27,00:00,1.04840,1.04940,1.04260,1.04730,5877
2008.08.28,00:00,1.04710,1.05370,1.04320,1.05130,6129
2008.08.29,00:00,1.05140,1.06440,1.04700,1.06390,6841
2008.09.01,00:00,1.06150,1.06910,1.06130,1.06780,4578
2008.09.02,00:00,1.06770,1.07470,1.06600,1.06710,8115
2008.09.03,00:00,1.06700,1.07760,1.05760,1.06110,8305
2008.09.04,00:00,1.06120,1.07180,1.05410,1.07150,9358
2008.09.05,00:00,1.07140,1.07270,1.06000,1.06210,12022
2008.09.08,00:00,1.05600,1.07130,1.05500,1.06620,9341
2008.09.09,00:00,1.06630,1.07260,1.06020,1.07210,8314
2008.09.10,00:00,1.07200,1.07420,1.06560,1.07400,9558
2008.09.11,00:00,1.07390,1.08190,1.06970,1.07410,8913
2008.09.12,00:00,1.07390,1.07600,1.05860,1.05990,10747
2008.09.15,00:00,1.06350,1.07500,1.05700,1.06910,11841
2008.09.16,00:00,1.06900,1.07470,1.06680,1.07160,11346
2008.09.17,00:00,1.07150,1.08080,1.06150,1.07130,12326
2008.09.18,00:00,1.07120,1.07260,1.05770,1.05790,12331
2008.09.19,00:00,1.05780,1.06670,1.04290,1.04600,11840
2008.09.22,00:00,1.04810,1.05140,1.03160,1.03500,9229
2008.09.23,00:00,1.03430,1.03970,1.03040,1.03760,7671
2008.09.24,00:00,1.03740,1.03910,1.03120,1.03840,7604
2008.09.25,00:00,1.03810,1.03850,1.02970,1.03290,7109
2008.09.26,00:00,1.03300,1.03720,1.03140,1.03340,6646
2008.09.29,00:00,1.03620,1.04600,1.03330,1.04540,9567
2008.09.30,00:00,1.04550,1.06620,1.04380,1.06290,10445
2008.10.01,00:00,1.06300,1.06600,1.05460,1.06260,10332
2008.10.02,00:00,1.06280,1.08080,1.06210,1.07900,10780
2008.10.03,00:00,1.07880,1.08420,1.07250,1.08250,10905
2008.10.06,00:00,1.08390,1.10890,1.08140,1.10400,14184
2008.10.07,00:00,1.10320,1.10850,1.09510,1.10390,13674
2008.10.08,00:00,1.10400,1.12910,1.09940,1.12600,15682
2008.10.09,00:00,1.12590,1.15070,1.11870,1.14710,13235
2008.10.10,00:00,1.14780,1.21290,1.14590,1.17300,19756
2008.10.13,00:00,1.16680,1.17950,1.14500,1.14620,14238
2008.10.14,00:00,1.14610,1.16490,1.13040,1.16090,19842
2008.10.15,00:00,1.16100,1.19210,1.15360,1.19090,15585
2008.10.16,00:00,1.19060,1.19950,1.17520,1.17860,16790
2008.10.17,00:00,1.17870,1.19290,1.17730,1.18240,11232
2008.10.20,00:00,1.18260,1.19810,1.17400,1.19250,9604
2008.10.21,00:00,1.19240,1.22070,1.19080,1.21280,11232
2008.10.22,00:00,1.21300,1.25970,1.21050,1.25520,15109
2008.10.23,00:00,1.25530,1.27400,1.24300,1.24420,18846
2008.10.24,00:00,1.24440,1.28390,1.24430,1.27740,22125
2008.10.27,00:00,1.27460,1.29820,1.27050,1.29780,16401
2008.10.28,00:00,1.29790,1.30150,1.26900,1.27040,18977
2008.10.29,00:00,1.27050,1.28680,1.21250,1.22230,25264
2008.10.30,00:00,1.22260,1.22550,1.19000,1.20050,23919
2008.10.31,00:00,1.20040,1.23750,1.19410,1.21230,24915
2008.11.03,00:00,1.21100,1.21150,1.17830,1.18120,12853
2008.11.04,00:00,1.18130,1.18920,1.14730,1.14940,11741
2008.11.05,00:00,1.14970,1.16970,1.14640,1.16960,13836
2008.11.06,00:00,1.16950,1.19860,1.16120,1.19730,15150
2008.11.07,00:00,1.19710,1.20220,1.16690,1.18910,18265
2008.11.10,00:00,1.18170,1.19900,1.16580,1.19480,13525
2008.11.11,00:00,1.19460,1.20980,1.18900,1.20650,10464
2008.11.12,00:00,1.20640,1.24150,1.19840,1.23980,15436
2008.11.13,00:00,1.23970,1.24450,1.20980,1.21040,17592
2008.11.14,00:00,1.21050,1.23700,1.21040,1.23680,18296
2008.11.17,00:00,1.23800,1.24220,1.21090,1.22930,15736
2008.11.18,00:00,1.22920,1.23850,1.21770,1.23210,14313
2008.11.19,00:00,1.23230,1.25520,1.22820,1.25310,12412
2008.11.20,00:00,1.25300,1.29790,1.25260,1.29600,14837
2008.11.21,00:00,1.29640,1.29840,1.26630,1.26660,14138
2008.11.24,00:00,1.26650,1.27730,1.22390,1.23080,14661
2008.11.25,00:00,1.23090,1.24780,1.21250,1.22870,15791
2008.11.26,00:00,1.22860,1.24120,1.21590,1.23200,13020
2008.11.27,00:00,1.23210,1.23720,1.22340,1.23210,7150
2008.11.28,00:00,1.23240,1.24660,1.23100,1.23960,16035
2008.12.01,00:00,1.23720,1.25110,1.23040,1.24680,11417
2008.12.02,00:00,1.24700,1.25820,1.23810,1.24870,11378
2008.12.03,00:00,1.24880,1.26670,1.24670,1.25250,10764
2008.12.04,00:00,1.25240,1.28010,1.25150,1.27700,13650
2008.12.05,00:00,1.27690,1.30050,1.26550,1.27010,12447
2008.12.08,00:00,1.27390,1.27520,1.24460,1.25080,11699
2008.12.09,00:00,1.25170,1.27430,1.25020,1.25820,10605
2008.12.10,00:00,1.25810,1.26660,1.24870,1.26040,10220
2008.12.11,00:00,1.26070,1.26070,1.21580,1.23580,10493
2008.12.12,00:00,1.23590,1.25130,1.22850,1.24760,10639
2008.12.15,00:00,1.24570,1.24640,1.22300,1.23230,12300
2008.12.16,00:00,1.23240,1.23740,1.19860,1.20540,11275
2008.12.17,00:00,1.20610,1.21190,1.19050,1.19140,13274
2008.12.18,00:00,1.19150,1.21180,1.18180,1.20720,14351
2008.12.19,00:00,1.20680,1.23890,1.20290,1.21500,13600
2008.12.22,00:00,1.21710,1.22190,1.19850,1.22070,12171
2008.12.23,00:00,1.22060,1.22500,1.20650,1.22020,10181
2008.12.24,00:00,1.22000,1.22100,1.20810,1.20920,6886
2008.12.26,00:00,1.21750,1.22200,1.21660,1.22140,2457
2008.12.29,00:00,1.21990,1.22220,1.20660,1.22150,8957
2008.12.30,00:00,1.22170,1.23340,1.21350,1.21350,9892
2008.12.31,00:00,1.21400,1.23450,1.21010,1.22370,6752
2009.01.02,00:00,1.22190,1.22380,1.20470,1.20480,6818
2009.01.05,00:00,1.20510,1.22230,1.18660,1.19120,11687
2009.01.06,00:00,1.19100,1.19990,1.17610,1.18400,12275
2009.01.07,00:00,1.18420,1.19990,1.17750,1.19300,10576
2009.01.08,00:00,1.19310,1.20700,1.17690,1.17930,11946
2009.01.09,00:00,1.17940,1.19670,1.17920,1.18510,15892
2009.01.12,00:00,1.18970,1.21980,1.18810,1.21600,14999
2009.01.13,00:00,1.21740,1.23390,1.21540,1.22410,17439
2009.01.14,00:00,1.22390,1.24950,1.21040,1.24760,20202
2009.01.15,00:00,1.24770,1.26730,1.24130,1.25310,18980
2009.01.16,00:00,1.25300,1.25760,1.23160,1.24310,20287
2009.01.19,00:00,1.23820,1.25720,1.23750,1.25410,13672
2009.01.20,00:00,1.25400,1.26960,1.25300,1.26580,18259
2009.01.21,00:00,1.26560,1.27650,1.25430,1.25600,20770
2009.01.22,00:00,1.25590,1.27400,1.25170,1.25230,19426
2009.01.23,00:00,1.25220,1.26500,1.22680,1.23100,18426
2009.01.26,00:00,1.23390,1.23850,1.21400,1.22160,16785
2009.01.27,00:00,1.22140,1.23300,1.21510,1.22440,20281
2009.01.28,00:00,1.22450,1.22990,1.20240,1.21120,20836
2009.01.29,00:00,1.21110,1.22660,1.21080,1.22620,17322
2009.01.30,00:00,1.22610,1.24150,1.22110,1.22930,20936
2009.02.02,00:00,1.22700,1.24650,1.22580,1.24540,13574
2009.02.03,00:00,1.24530,1.25210,1.22920,1.23150,15239
2009.02.04,00:00,1.23150,1.24350,1.22250,1.23230,19239
2009.02.05,00:00,1.23220,1.23790,1.22260,1.23240,17565
2009.02.06,00:00,1.23230,1.25370,1.21870,1.21910,17155
2009.02.09,00:00,1.21881,1.22970,1.21297,1.21740,22640
2009.02.10,00:00,1.21730,1.24925,1.21670,1.24320,18997
2009.02.11,00:00,1.24310,1.25315,1.23825,1.24040,14979
2009.02.12,00:00,1.23990,1.25470,1.23900,1.24200,15164
2009.02.13,00:00,1.24250,1.24645,1.22790,1.23520,12963
2009.02.16,00:00,1.24000,1.24865,1.23930,1.24202,5714
2009.02.17,00:00,1.24227,1.26720,1.24137,1.26450,17119
2009.02.18,00:00,1.26438,1.26520,1.25290,1.25926,14175
2009.02.19,00:00,1.25970,1.26170,1.24655,1.25400,14416
