Date,Time,Open,High,Low,Close,Volume
2020.06.18,12:00,1732.96,1737.55,1721.02,1725.81,8855
2020.06.18,13:00,1725.82,1727.95,1722.04,1726.64,6365
2020.06.18,14:00,1726.62,1726.98,1718.06,1722.02,6272
2020.06.18,15:00,1721.98,1726.47,1717.99,1725.33,8360
2020.06.18,16:00,1725.33,1727.14,1722.04,1722.66,8524
2020.06.18,17:00,1722.72,1723.32,1717.3,1722.02,9375
2020.06.18,18:00,1722,1724.56,1720.66,1722.34,6330
2020.06.18,19:00,1722.39,1724.2,1722.31,1723.25,4344
2020.06.18,20:00,1723.26,1724.49,1722.54,1724.02,3564
2020.06.18,21:00,1723.94,1725.43,1723.17,1725.07,3320
2020.06.18,22:00,1725.07,1725.57,1722.6,1724.61,4477
2020.06.18,23:00,1724.74,1725.24,1722.36,1722.48,1602
2020.06.19,01:00,1722.81,1723.44,1721.15,1723.44,659
2020.06.19,02:00,1723.48,1724.03,1721.71,1723.35,803
2020.06.19,03:00,1723.44,1724.26,1722.32,1723.61,1042
2020.06.19,04:00,1723.68,1726.24,1722.7,1725.77,3406
2020.06.19,05:00,1725.84,1726.37,1724.76,1725.23,2775
2020.06.19,06:00,1725.22,1727.05,1724.83,1725.88,2413
2020.06.19,07:00,1725.88,1727.33,1725.64,1726.02,1918
2020.06.19,08:00,1725.99,1728.05,1725.88,1727.88,2180
2020.06.19,09:00,1727.87,1732.82,1727.28,1730.4,4729
2020.06.19,10:00,1730.46,1732.43,1729.75,1731.91,3700
2020.06.19,11:00,1731.91,1732.55,1728.08,1730.13,3897
2020.06.19,12:00,1730.13,1731.67,1727.66,1731.46,2922
2020.06.19,13:00,1731.45,1732.2,1729.44,1729.73,2194
2020.06.19,14:00,1729.71,1734.06,1729.48,1733.88,2888
2020.06.19,15:00,1733.86,1736.58,1731.39,1734.93,6471
2020.06.19,16:00,1734.91,1737.46,1731.88,1734.39,7794
2020.06.19,17:00,1734.48,1740.46,1733.18,1737.86,9114
2020.06.19,18:00,1737.93,1745.28,1737.54,1742.14,11464
2020.06.19,19:00,1742.14,1742.88,1739.09,1741.49,7517
2020.06.19,20:00,1741.5,1742.5,1739.57,1741.08,8196
2020.06.19,21:00,1741.08,1742.38,1739.76,1741.04,6031
2020.06.19,22:00,1741.05,1744.37,1740.62,1744.22,5768
2020.06.19,23:00,1744.2,1744.2,1741.01,1742.22,2176
2020.06.22,01:00,1747.68,1750.02,1743.4,1745.49,2359
