Date,Time,Open,High,Low,Close,Volume
2017.03.02,20:00,1233.69000,1235.54000,1231.06000,1233.65000,26486
2017.03.03,00:00,1234.08000,1236.20000,1232.03000,1233.28000,16391
2017.03.03,04:00,1233.27000,1234.15000,1230.10000,1230.59000,18222
2017.03.03,08:00,1230.59000,1232.50000,1225.44000,1227.83000,28922
2017.03.03,12:00,1227.82000,1231.71000,1226.08000,1228.91000,32362
2017.03.03,16:00,1228.96000,1229.60000,1223.22000,1227.11000,43658
2017.03.03,20:00,1227.14000,1236.15000,1222.92000,1234.21000,48295
2017.03.06,00:00,1233.19000,1236.76000,1232.26000,1233.50000,18101
2017.03.06,04:00,1233.50000,1234.62000,1232.70000,1233.49000,22365
2017.03.06,08:00,1233.49000,1234.94000,1231.23000,1233.09000,25740
2017.03.06,12:00,1233.08000,1234.40000,1230.21000,1233.29000,23937
2017.03.06,16:00,1233.30000,1233.40000,1225.56000,1226.01000,39705
2017.03.06,20:00,1226.00000,1227.64000,1224.63000,1224.78000,19626
2017.03.07,00:00,1224.69000,1227.09000,1224.00000,1226.14000,13138
2017.03.07,04:00,1226.12000,1227.04000,1224.65000,1225.47000,13401
2017.03.07,08:00,1225.45000,1226.18000,1222.17000,1223.35000,22666
2017.03.07,12:00,1223.35000,1225.23000,1219.60000,1221.10000,25808
2017.03.07,16:00,1221.10000,1221.25000,1216.33000,1217.79000,40388
2017.03.07,20:00,1217.77000,1217.77000,1214.13000,1215.16000,18715
2017.03.08,00:00,1215.15000,1218.49000,1214.78000,1217.55000,14945
2017.03.08,04:00,1217.57000,1218.37000,1216.81000,1217.32000,14344
2017.03.08,08:00,1217.33000,1218.07000,1211.36000,1212.97000,23750
2017.03.08,12:00,1212.96000,1214.52000,1208.78000,1209.52000,30063
2017.03.08,16:00,1209.55000,1211.46000,1206.58000,1207.61000,40761
2017.03.08,20:00,1207.61000,1210.27000,1207.06000,1207.76000,24154
2017.03.09,00:00,1207.67000,1208.95000,1205.86000,1207.10000,14806
2017.03.09,04:00,1207.09000,1208.02000,1203.87000,1205.46000,22082
2017.03.09,08:00,1205.46000,1206.97000,1203.15000,1204.57000,26767
2017.03.09,12:00,1204.51000,1208.92000,1203.78000,1206.91000,34076
2017.03.09,16:00,1206.96000,1208.21000,1201.43000,1203.93000,39663
2017.03.09,20:00,1203.92000,1204.41000,1199.19000,1200.62000,24459
2017.03.10,00:00,1200.38000,1201.93000,1197.54000,1199.02000,15325
2017.03.10,04:00,1199.01000,1199.56000,1196.82000,1197.83000,17349
2017.03.10,08:00,1197.88000,1198.40000,1194.94000,1196.97000,29386
2017.03.10,12:00,1196.95000,1203.45000,1196.12000,1203.45000,29918
2017.03.10,16:00,1203.46000,1206.26000,1198.52000,1201.51000,52048
2017.03.10,20:00,1201.51000,1204.64000,1201.28000,1203.95000,23962
2017.03.13,00:00,1205.52000,1207.19000,1203.70000,1205.17000,14781
2017.03.13,04:00,1205.17000,1207.87000,1204.13000,1207.15000,14529
2017.03.13,08:00,1207.15000,1211.11000,1207.05000,1208.11000,27288
2017.03.13,12:00,1208.11000,1208.80000,1202.39000,1204.24000,29583
2017.03.13,16:00,1204.28000,1206.44000,1203.24000,1203.72000,29224
2017.03.13,20:00,1203.69000,1204.63000,1203.23000,1203.59000,11806
2017.03.14,00:00,1203.78000,1204.58000,1201.42000,1204.24000,14604
2017.03.14,04:00,1204.28000,1204.95000,1202.62000,1203.20000,10349
2017.03.14,08:00,1203.19000,1203.85000,1200.53000,1203.14000,22212
2017.03.14,12:00,1203.14000,1207.00000,1201.73000,1203.43000,26641
2017.03.14,16:00,1203.46000,1207.60000,1202.67000,1203.10000,35181
2017.03.14,20:00,1203.10000,1203.61000,1197.25000,1198.70000,16162
2017.03.15,00:00,1199.21000,1201.34000,1197.68000,1200.78000,13254
2017.03.15,04:00,1200.78000,1203.89000,1200.14000,1202.94000,12745
2017.03.15,08:00,1203.01000,1205.24000,1202.34000,1202.75000,21495
2017.03.15,12:00,1202.74000,1202.80000,1198.63000,1199.95000,23692
2017.03.15,16:00,1200.00000,1204.21000,1197.48000,1201.26000,27865
2017.03.15,20:00,1201.25000,1221.88000,1200.32000,1219.47000,49535
2017.03.16,00:00,1218.82000,1224.91000,1218.01000,1224.69000,25235
2017.03.16,04:00,1224.68000,1226.85000,1223.98000,1226.05000,18680
2017.03.16,08:00,1226.09000,1228.76000,1223.39000,1224.05000,30629
2017.03.16,12:00,1224.02000,1233.59000,1223.40000,1228.08000,38468
2017.03.16,16:00,1228.07000,1230.54000,1225.66000,1226.53000,33683
2017.03.16,20:00,1226.53000,1228.36000,1225.27000,1226.07000,17154
2017.03.17,00:00,1226.18000,1228.03000,1224.44000,1227.08000,14278
2017.03.17,04:00,1227.03000,1227.48000,1226.12000,1226.80000,9341
2017.03.17,08:00,1226.80000,1229.53000,1225.63000,1229.42000,21079
2017.03.17,12:00,1229.41000,1231.31000,1228.14000,1230.31000,28409
2017.03.17,16:00,1230.35000,1231.60000,1227.94000,1229.25000,27758
2017.03.17,20:00,1229.24000,1229.93000,1228.49000,1228.89000,10206
2017.03.20,00:00,1229.38000,1233.58000,1229.29000,1233.31000,11006
2017.03.20,04:00,1233.31000,1235.01000,1232.62000,1233.87000,10452
2017.03.20,08:00,1233.88000,1235.46000,1232.24000,1232.59000,17944
2017.03.20,12:00,1232.58000,1233.46000,1230.05000,1231.41000,20455
2017.03.20,16:00,1231.36000,1234.36000,1230.89000,1233.75000,23006
2017.03.20,20:00,1233.74000,1234.87000,1233.34000,1233.80000,9034
2017.03.21,00:00,1234.36000,1235.23000,1228.15000,1229.44000,14800
2017.03.21,04:00,1229.44000,1229.97000,1226.82000,1228.76000,17927
2017.03.21,08:00,1228.74000,1232.35000,1228.32000,1231.88000,21617
2017.03.21,12:00,1231.88000,1239.26000,1231.37000,1239.19000,24754
2017.03.21,16:00,1239.14000,1247.47000,1239.14000,1247.08000,49284
2017.03.21,20:00,1247.07000,1247.17000,1243.03000,1244.21000,23953
2017.03.22,00:00,1244.26000,1246.79000,1243.94000,1244.77000,19679
2017.03.22,04:00,1244.76000,1245.68000,1244.46000,1245.10000,13424
2017.03.22,08:00,1245.10000,1248.97000,1245.01000,1245.94000,30689
2017.03.22,12:00,1245.94000,1249.32000,1244.57000,1248.87000,27611
2017.03.22,16:00,1248.84000,1251.08000,1246.87000,1251.04000,44371
2017.03.22,20:00,1251.04000,1251.23000,1247.29000,1248.30000,15867
2017.03.23,00:00,1248.48000,1248.93000,1244.64000,1245.63000,14090
