Date,Time,Open,High,Low,Close,Volume
2002.09.14,00:00,316.55,324.5,313.5,322.15,8492
2002.09.15,00:00,316.9,324.5,313.5,322.15,7607
2002.09.21,00:00,322.15,328.3,318.5,319.95,7833
2002.09.22,00:00,322.15,328.3,318.5,319.95,7833
2002.09.28,00:00,320.25,325.5,319,322.25,3816
2002.09.29,00:00,320.25,325.5,319,322.25,5085
2002.10.05,00:00,322.25,323.7,315.9,316.75,3369
2002.10.06,00:00,322.25,323.7,315.9,316.75,3369
2002.10.12,00:00,318.45,319.1,310.22,312.85,5650
2002.10.13,00:00,318.45,319.1,310.22,312.85,9091
2002.10.19,00:00,312.75,314.1,310.2,313.15,2690
2002.10.20,00:00,312.75,314.6,308.5,313.05,4785
2002.10.27,00:00,313.27,321.8,312.5,318.75,6594
2002.11.03,00:00,320.35,323.5,316.5,321.05,5760
2002.11.10,00:00,321.55,325.4,316.5,320.55,8395
2002.11.17,00:00,320.55,322.5,316.3,321.05,6153
2002.11.24,00:00,320.15,321.5,315.62,318.15,4227
2002.12.01,00:00,318.47,329.6,315.7,326.25,8188
2002.12.08,00:00,326.57,336,322.3,330.55,7011
2002.12.15,00:00,333.15,354.72,331.9,340.25,10693
2002.12.22,00:00,340.76,351.51,340.45,349.25,5549
2002.12.29,00:00,349.17,353.5,341.1,351.25,7406
2003.01.05,00:00,349.85,357.75,344.45,354.75,13924
2003.01.12,00:00,354.75,359.2,345.51,356.55,12530
2003.01.19,00:00,356.55,370.5,353.05,368.35,10417
2003.01.26,00:00,373.97,374.22,362.4,368.15,12584
2003.02.02,00:00,368.15,389.25,366.75,369.75,14699
2003.02.09,00:00,369.75,373.36,346.75,351.55,14859
2003.02.16,00:00,351,355.05,341,351.9,12305
2003.02.23,00:00,351.75,360.65,344.75,349.95,13194
2003.03.02,00:00,349.5,358.6,344.7,350.75,13161
2003.03.09,00:00,352.22,355.47,331.45,336.35,9998
2003.03.16,00:00,339.45,345.65,325.49,326.05,10092
2003.03.23,00:00,328.13,334.7,325.88,332.45,9520
2003.03.30,00:00,332.61,339.15,321.88,325.38,10311
2003.04.06,00:00,321.72,329.55,318.88,328.05,10633
2003.04.13,00:00,326.13,328.5,321.88,327.25,6799
2003.04.20,00:00,327.13,336.66,326.3,333.25,10107
2003.04.27,00:00,333.34,344,327.13,340.95,10912
2003.05.04,00:00,341.72,349.95,339.15,348.55,10220
2003.05.11,00:00,348.8,357.5,348.05,354.75,10654
2003.05.18,00:00,357,373.65,356.4,368.75,11734
2003.05.25,00:00,368,375.02,358.3,364.85,9158
2003.06.01,00:00,363.25,370.3,359.36,363.85,11546
2003.06.08,00:00,362.75,367.45,350.7,356.95,16449
2003.06.15,00:00,356.85,366.1,354.8,356.45,15283
2003.06.22,00:00,356.45,358.7,342.6,345.45,17351
2003.06.29,00:00,345.55,354.2,344.1,351.05,10293
2003.07.06,00:00,351.75,353,341.8,344.75,16823
2003.07.13,00:00,345.25,350.1,340.3,347.35,16157
2003.07.20,00:00,346.75,365.4,346.5,362.95,20781
2003.07.27,00:00,362.8,368.8,344.8,346.6,20488
2003.08.03,00:00,348.8,358.7,346.1,356.8,19609
2003.08.10,00:00,356.5,368.3,355.1,363.5,18479
2003.08.17,00:00,363.5,367.8,356,363.1,18272
2003.08.24,00:00,363.3,378.6,358.5,375.3,20334
2003.08.31,00:00,375,380,369.1,377.1,6716
2003.09.07,00:00,377.3,384,373,375,7985
2003.09.14,00:00,375.3,384.3,371.1,381.8,8645
2003.09.21,00:00,381,394.5,378.8,380.6,10135
2003.09.28,00:00,381.1,388.8,366.5,369.3,9455
2003.10.05,00:00,369.8,378.8,367.6,373.1,9559
2003.10.12,00:00,373.1,377.6,366,371.3,13083
2003.10.19,00:00,371.3,392.8,369,388.6,18639
2003.10.26,00:00,387.6,392.1,379.3,384,15371
2003.11.02,00:00,384.6,386.1,375.3,383.3,13697
2003.11.09,00:00,382.8,399.5,381.6,397.8,15437
2003.11.16,00:00,397.3,401.6,385.3,395.8,13901
2003.11.23,00:00,395.8,401.1,389.1,397.8,9185
2003.11.30,00:00,397.5,407.6,396.3,406.1,14310
2003.12.07,00:00,406.1,412.7,402.1,408.8,11915
2003.12.14,00:00,409.1,413.8,401.3,409.1,13095
2003.12.21,00:00,409,414.8,407.1,412.26,5634
2003.12.28,00:00,412.3,418.6,410.8,416.1,5417
2004.01.04,00:00,414.8,431.1,414.3,425.7,19656
2004.01.11,00:00,427.2,430.1,404.5,406.3,25343
2004.01.18,00:00,407.85,414.3,406,407.5,22279
2004.01.25,00:00,407.5,416,395.8,401.6,32645
2004.02.01,00:00,402.6,410.1,394.1,403,24442
2004.02.08,00:00,402.9,418.2,402,409.6,25012
2004.02.15,00:00,412.5,417.8,393.8,397,26362
2004.02.22,00:00,397,405.8,390.3,396,26318
2004.02.29,00:00,395,404,387.6,401,27288
2004.03.07,00:00,400.9,406.5,394,394.9,24863
2004.03.14,00:00,395.5,414.7,395,412,18429
2004.03.21,00:00,411.9,424.3,410.3,421.3,14863
2004.03.28,00:00,421.5,431.6,415.6,420.9,14984
2004.04.04,00:00,421,424.3,413,420.8,14044
2004.04.11,00:00,420.5,422.6,394.8,400.5,14494
2004.04.18,00:00,400.4,406.3,388.7,394.8,14368
2004.04.25,00:00,395.1,400.1,377.2,386.7,11222
2004.05.02,00:00,386.8,395.5,376.9,378.5,13279
2004.05.09,00:00,378.6,384.8,370.5,376.6,11000
2004.05.16,00:00,376.7,387.8,374.3,384.5,17038
2004.05.23,00:00,384.1,397.3,382.3,393.3,11642
2004.05.30,00:00,393.3,399.3,384.8,389.6,8318
2004.06.06,00:00,390.25,395.8,381.6,384.3,9431
2004.06.13,00:00,384.3,396.8,381.1,394.8,10314
2004.06.20,00:00,394.1,403.8,392.1,401.6,9289
2004.06.27,00:00,402.3,405.6,390.3,398.3,10351
2004.07.04,00:00,397.89,409.6,388.5,407.6,6035
