Date,Time,Open,High,Low,Close,Volume
2018.10.11,00:00,1193.99000,1195.05000,1192.93000,1193.07000,16075
2018.10.11,04:00,1193.10000,1193.96000,1191.20000,1192.97000,37819
2018.10.11,08:00,1193.00000,1198.41000,1191.75000,1198.07000,43702
2018.10.11,12:00,1198.06000,1210.37000,1197.52000,1208.51000,62956
2018.10.11,16:00,1208.42000,1220.70000,1205.03000,1219.70000,114237
2018.10.11,20:00,1219.70000,1226.30000,1219.59000,1223.76000,67557
2018.10.12,00:00,1223.98000,1224.05000,1220.04000,1220.90000,15795
2018.10.12,04:00,1220.89000,1222.07000,1217.57000,1219.69000,28961
2018.10.12,08:00,1219.69000,1221.26000,1215.76000,1217.91000,38451
2018.10.12,12:00,1217.92000,1223.70000,1217.90000,1218.87000,43158
2018.10.12,16:00,1218.88000,1222.81000,1216.24000,1219.80000,62882
2018.10.12,20:00,1219.80000,1220.39000,1217.20000,1217.43000,31508
2018.10.15,00:00,1217.46000,1221.56000,1216.90000,1220.86000,16868
2018.10.15,04:00,1220.87000,1222.32000,1220.26000,1221.97000,21508
2018.10.15,08:00,1221.97000,1230.45000,1221.20000,1230.35000,36978
2018.10.15,12:00,1230.35000,1233.19000,1228.54000,1230.60000,42052
2018.10.15,16:00,1230.49000,1231.34000,1224.12000,1226.88000,59077
2018.10.15,20:00,1226.87000,1227.31000,1224.85000,1226.83000,26119
2018.10.16,00:00,1226.65000,1228.44000,1226.42000,1228.13000,3774
2018.10.16,04:00,1228.22000,1228.45000,1225.36000,1225.86000,7127
2018.10.16,08:00,1225.84000,1230.08000,1224.93000,1228.70000,20754
2018.10.16,12:00,1228.70000,1232.30000,1226.27000,1230.08000,20406
2018.10.16,16:00,1230.08000,1232.32000,1227.25000,1228.27000,25293
2018.10.16,20:00,1228.25000,1228.95000,1223.28000,1224.66000,12421
2018.10.17,00:00,1224.45000,1225.75000,1223.89000,1225.09000,10144
2018.10.17,04:00,1225.08000,1225.17000,1221.51000,1221.93000,26100
2018.10.17,08:00,1221.94000,1228.02000,1220.53000,1227.11000,48380
2018.10.17,12:00,1227.13000,1227.86000,1224.88000,1227.01000,38996
2018.10.17,16:00,1227.01000,1229.41000,1224.06000,1224.45000,53720
2018.10.17,20:00,1224.46000,1225.09000,1221.56000,1221.56000,32717
2018.10.18,00:00,1221.86000,1223.50000,1221.42000,1222.35000,15903
2018.10.18,04:00,1222.35000,1224.07000,1221.71000,1223.45000,25216
2018.10.18,08:00,1223.46000,1223.71000,1218.56000,1223.16000,47688
2018.10.18,12:00,1223.16000,1226.23000,1222.37000,1223.37000,42920
2018.10.18,16:00,1223.32000,1230.06000,1221.00000,1227.71000,64390
2018.10.18,20:00,1227.71000,1227.91000,1224.47000,1225.56000,31127
2018.10.19,00:00,1224.93000,1226.32000,1224.93000,1225.31000,11486
2018.10.19,04:00,1225.32000,1228.67000,1225.32000,1227.33000,21352
2018.10.19,08:00,1227.33000,1229.43000,1223.01000,1226.40000,41135
2018.10.19,12:00,1226.40000,1230.71000,1225.90000,1228.13000,41853
2018.10.19,16:00,1228.18000,1229.14000,1226.00000,1227.25000,51011
2018.10.19,20:00,1227.27000,1227.63000,1225.44000,1226.28000,21170
2018.10.22,00:00,1227.21000,1229.48000,1226.54000,1227.11000,14384
2018.10.22,04:00,1227.12000,1228.25000,1226.16000,1227.54000,23128
2018.10.22,08:00,1227.54000,1228.06000,1222.53000,1223.34000,35663
2018.10.22,12:00,1223.35000,1224.40000,1221.33000,1222.88000,38744
2018.10.22,16:00,1222.88000,1223.56000,1219.98000,1222.11000,53989
2018.10.22,20:00,1222.11000,1223.58000,1221.42000,1221.77000,19648
2018.10.23,00:00,1221.78000,1223.26000,1221.55000,1222.53000,11427
2018.10.23,04:00,1222.53000,1224.38000,1222.20000,1223.84000,24006
2018.10.23,08:00,1223.84000,1236.11000,1223.65000,1235.58000,52296
2018.10.23,12:00,1235.57000,1239.67000,1233.60000,1237.81000,17128
2018.10.23,16:00,1237.73000,1239.13000,1229.64000,1230.95000,26243
2018.10.23,20:00,1230.85000,1233.92000,1229.65000,1229.98000,10102
2018.10.24,00:00,1230.09000,1232.12000,1230.09000,1230.96000,2665
2018.10.24,04:00,1230.95000,1233.51000,1230.85000,1231.85000,8473
2018.10.24,08:00,1231.86000,1233.33000,1229.38000,1230.62000,28512
2018.10.24,12:00,1230.62000,1231.43000,1225.51000,1229.24000,20343
2018.10.24,16:00,1229.25000,1233.26000,1227.37000,1227.66000,24275
2018.10.24,20:00,1227.66000,1234.22000,1227.25000,1233.95000,10543
2018.10.25,00:00,1233.96000,1236.57000,1232.99000,1235.54000,4484
2018.10.25,04:00,1235.53000,1237.79000,1234.99000,1236.83000,7608
2018.10.25,08:00,1236.83000,1239.09000,1230.08000,1232.78000,26056
2018.10.25,12:00,1232.79000,1233.26000,1230.48000,1233.02000,19877
2018.10.25,16:00,1233.05000,1235.33000,1228.19000,1229.99000,24672
2018.10.25,20:00,1229.99000,1232.21000,1227.98000,1231.80000,7816
2018.10.26,00:00,1231.48000,1233.05000,1230.93000,1231.03000,3427
2018.10.26,04:00,1230.99000,1232.88000,1229.94000,1231.71000,10472
2018.10.26,08:00,1231.71000,1237.78000,1231.01000,1237.31000,28903
2018.10.26,12:00,1237.33000,1238.44000,1231.93000,1233.22000,29968
2018.10.26,16:00,1233.22000,1243.33000,1231.43000,1233.83000,37843
2018.10.26,20:00,1233.83000,1235.86000,1232.41000,1232.87000,17970
2018.10.29,00:00,1233.76000,1235.25000,1231.71000,1234.85000,6809
2018.10.29,04:00,1234.86000,1235.33000,1232.29000,1233.62000,6625
2018.10.29,08:00,1233.61000,1233.67000,1227.58000,1228.51000,27682
2018.10.29,12:00,1228.51000,1231.82000,1228.51000,1229.77000,28940
2018.10.29,16:00,1229.81000,1231.73000,1224.21000,1226.51000,24115
2018.10.29,20:00,1226.51000,1230.67000,1226.44000,1228.75000,10338
2018.10.30,00:00,1229.66000,1230.49000,1226.25000,1227.39000,6379
2018.10.30,04:00,1227.33000,1228.70000,1226.29000,1226.31000,6591
2018.10.30,08:00,1226.30000,1228.69000,1222.41000,1222.85000,17841
2018.10.30,12:00,1222.85000,1226.41000,1219.77000,1224.31000,26895
2018.10.30,16:00,1224.41000,1226.42000,1222.21000,1222.71000,26053
2018.10.30,20:00,1222.71000,1224.03000,1222.27000,1222.67000,7595
2018.10.31,00:00,1222.81000,1223.19000,1219.57000,1220.11000,6553
2018.10.31,04:00,1220.12000,1220.93000,1215.12000,1217.70000,7122
2018.10.31,08:00,1217.70000,1218.60000,1214.63000,1216.03000,18176
2018.10.31,12:00,1216.00000,1218.64000,1211.88000,1212.49000,21288
2018.10.31,16:00,1212.51000,1217.20000,1212.25000,1213.17000,29337
2018.10.31,20:00,1213.17000,1216.81000,1213.12000,1213.87000,9512
2018.11.01,00:00,1215.04000,1217.95000,1214.60000,1217.35000,6870
2018.11.01,04:00,1217.33000,1218.63000,1216.51000,1217.75000,5719
2018.11.01,08:00,1217.69000,1226.71000,1217.67000,1224.12000,22403
2018.11.01,12:00,1224.12000,1231.00000,1222.29000,1229.28000,26425
2018.11.01,16:00,1229.70000,1237.33000,1229.03000,1234.11000,36603
2018.11.01,20:00,1234.08000,1234.71000,1232.57000,1232.69000,8722
2018.11.02,00:00,1233.75000,1234.35000,1231.29000,1231.93000,7021
2018.11.02,04:00,1231.98000,1234.38000,1231.08000,1233.79000,8749
2018.11.02,08:00,1233.79000,1236.29000,1230.80000,1235.70000,21261
2018.11.02,12:00,1235.70000,1236.33000,1229.63000,1233.41000,24966
2018.11.02,16:00,1233.43000,1236.31000,1230.27000,1231.98000,33762
2018.11.02,20:00,1231.98000,1233.41000,1231.58000,1232.37000,8050
2018.11.05,00:00,1232.54000,1235.06000,1232.18000,1233.09000,4913
2018.11.05,04:00,1233.09000,1233.49000,1231.14000,1231.61000,4243
2018.11.05,08:00,1231.60000,1234.29000,1230.54000,1231.49000,18159
2018.11.05,12:00,1231.49000,1232.58000,1226.78000,1228.65000,20746
2018.11.05,16:00,1228.61000,1233.16000,1228.10000,1230.00000,24787
2018.11.05,20:00,1230.00000,1231.63000,1228.93000,1231.40000,9631
2018.11.06,00:00,1231.06000,1231.67000,1229.96000,1230.45000,3656
2018.11.06,04:00,1230.46000,1230.57000,1228.57000,1229.97000,4201
2018.11.06,08:00,1229.97000,1235.14000,1229.53000,1233.87000,17342
2018.11.06,12:00,1233.91000,1235.85000,1232.89000,1233.41000,21522
2018.11.06,16:00,1233.42000,1233.95000,1225.11000,1225.91000,30068
